Date/Time,zone,counts,borough
2014-04-01,Allerton/Pelham Gardens,1,Bronx
2014-04-01,Alphabet City,81,Manhattan
2014-04-01,Astoria,24,Queens
2014-04-01,Baisley Park,6,Queens
2014-04-01,Battery Park,1,Manhattan
2014-04-01,Battery Park City,130,Manhattan
2014-04-01,Bay Ridge,18,Brooklyn
2014-04-01,Bayside,3,Queens
2014-04-01,Bedford,64,Brooklyn
2014-04-01,Belmont,1,Bronx
2014-04-01,Bensonhurst West,4,Brooklyn
2014-04-01,Bloomingdale,11,Manhattan
2014-04-01,Boerum Hill,63,Brooklyn
2014-04-01,Borough Park,15,Brooklyn
2014-04-01,Briarwood/Jamaica Hills,5,Queens
2014-04-01,Brighton Beach,1,Brooklyn
2014-04-01,Bronx Park,2,Bronx
2014-04-01,Bronxdale,2,Bronx
2014-04-01,Brooklyn Heights,63,Brooklyn
2014-04-01,Brooklyn Navy Yard,14,Brooklyn
2014-04-01,Brownsville,4,Brooklyn
2014-04-01,Bushwick North,22,Brooklyn
2014-04-01,Bushwick South,56,Brooklyn
2014-04-01,Canarsie,2,Brooklyn
2014-04-01,Carroll Gardens,29,Brooklyn
2014-04-01,Central Harlem,37,Manhattan
2014-04-01,Central Harlem North,28,Manhattan
2014-04-01,Central Park,85,Manhattan
2014-04-01,Chinatown,35,Manhattan
2014-04-01,Claremont/Bathgate,1,Bronx
2014-04-01,Clinton East,210,Manhattan
2014-04-01,Clinton Hill,76,Brooklyn
2014-04-01,Clinton West,98,Manhattan
2014-04-01,Cobble Hill,10,Brooklyn
2014-04-01,College Point,1,Queens
2014-04-01,Columbia Street,14,Brooklyn
2014-04-01,Coney Island,1,Brooklyn
2014-04-01,Crotona Park East,1,Bronx
2014-04-01,Crown Heights North,43,Brooklyn
2014-04-01,Crown Heights South,9,Brooklyn
2014-04-01,Cypress Hills,3,Brooklyn
2014-04-01,DUMBO/Vinegar Hill,71,Brooklyn
2014-04-01,Douglaston,2,Queens
2014-04-01,Downtown Brooklyn/MetroTech,47,Brooklyn
2014-04-01,Dyker Heights,3,Brooklyn
2014-04-01,East Chelsea,291,Manhattan
2014-04-01,East Concourse/Concourse Village,3,Bronx
2014-04-01,East Elmhurst,3,Queens
2014-04-01,East Flatbush/Farragut,3,Brooklyn
2014-04-01,East Flatbush/Remsen Village,2,Brooklyn
2014-04-01,East Flushing,1,Queens
2014-04-01,East Harlem North,19,Manhattan
2014-04-01,East Harlem South,30,Manhattan
2014-04-01,East New York,6,Brooklyn
2014-04-01,East Village,349,Manhattan
2014-04-01,East Williamsburg,54,Brooklyn
2014-04-01,Elmhurst,2,Queens
2014-04-01,Elmhurst/Maspeth,2,Queens
2014-04-01,Erasmus,1,Brooklyn
2014-04-01,Financial District North,199,Manhattan
2014-04-01,Financial District South,72,Manhattan
2014-04-01,Flatbush/Ditmas Park,19,Brooklyn
2014-04-01,Flatiron,261,Manhattan
2014-04-01,Flatlands,4,Brooklyn
2014-04-01,Flushing,1,Queens
2014-04-01,Flushing Meadows-Corona Park,4,Queens
2014-04-01,Fordham South,2,Bronx
2014-04-01,Forest Hills,12,Queens
2014-04-01,Fort Greene,69,Brooklyn
2014-04-01,Garment District,253,Manhattan
2014-04-01,Glendale,2,Queens
2014-04-01,Gowanus,36,Brooklyn
2014-04-01,Gramercy,235,Manhattan
2014-04-01,Greenpoint,79,Brooklyn
2014-04-01,Greenwich Village North,260,Manhattan
2014-04-01,Greenwich Village South,238,Manhattan
2014-04-01,Hamilton Heights,12,Manhattan
2014-04-01,Hammels/Arverne,1,Queens
2014-04-01,Hillcrest/Pomonok,3,Queens
2014-04-01,Homecrest,8,Brooklyn
2014-04-01,Howard Beach,1,Queens
2014-04-01,Hudson Sq,189,Manhattan
2014-04-01,Inwood,3,Manhattan
2014-04-01,Inwood Hill Park,1,Manhattan
2014-04-01,JFK Airport,306,Queens
2014-04-01,Jackson Heights,11,Queens
2014-04-01,Jamaica,9,Queens
2014-04-01,Jamaica Estates,2,Queens
2014-04-01,Kensington,3,Brooklyn
2014-04-01,Kew Gardens,5,Queens
2014-04-01,Kew Gardens Hills,6,Queens
2014-04-01,Kips Bay,97,Manhattan
2014-04-01,LaGuardia Airport,300,Queens
2014-04-01,Laurelton,1,Queens
2014-04-01,Lenox Hill East,118,Manhattan
2014-04-01,Lenox Hill West,212,Manhattan
2014-04-01,Lincoln Square East,211,Manhattan
2014-04-01,Lincoln Square West,123,Manhattan
2014-04-01,Little Italy/NoLiTa,305,Manhattan
2014-04-01,Long Island City/Hunters Point,53,Queens
2014-04-01,Long Island City/Queens Plaza,6,Queens
2014-04-01,Lower East Side,197,Manhattan
2014-04-01,Madison,1,Brooklyn
2014-04-01,Manhattan Beach,3,Brooklyn
2014-04-01,Manhattan Valley,34,Manhattan
2014-04-01,Manhattanville,8,Manhattan
2014-04-01,Marine Park/Mill Basin,6,Brooklyn
2014-04-01,Mariners Harbor,1,Staten Island
2014-04-01,Maspeth,3,Queens
2014-04-01,Meatpacking/West Village West,287,Manhattan
2014-04-01,Melrose South,2,Bronx
2014-04-01,Middle Village,1,Queens
2014-04-01,Midtown Center,808,Manhattan
2014-04-01,Midtown East,437,Manhattan
2014-04-01,Midtown North,371,Manhattan
2014-04-01,Midtown South,361,Manhattan
2014-04-01,Midwood,8,Brooklyn
2014-04-01,Morningside Heights,38,Manhattan
2014-04-01,Morrisania/Melrose,1,Bronx
2014-04-01,Mott Haven/Port Morris,2,Bronx
2014-04-01,Mount Hope,2,Bronx
2014-04-01,Murray Hill,290,Manhattan
2014-04-01,Newark Airport,115,EWR
2014-04-01,North Corona,2,Queens
2014-04-01,Norwood,4,Bronx
2014-04-01,Oakland Gardens,2,Queens
2014-04-01,Oakwood,1,Staten Island
2014-04-01,Ocean Hill,7,Brooklyn
2014-04-01,Ocean Parkway South,2,Brooklyn
2014-04-01,Old Astoria,10,Queens
2014-04-01,Park Slope,133,Brooklyn
2014-04-01,Pelham Bay,1,Bronx
2014-04-01,Pelham Parkway,2,Bronx
2014-04-01,Penn Station/Madison Sq West,199,Manhattan
2014-04-01,Prospect Heights,42,Brooklyn
2014-04-01,Prospect Park,8,Brooklyn
2014-04-01,Prospect-Lefferts Gardens,20,Brooklyn
2014-04-01,Queens Village,1,Queens
2014-04-01,Queensboro Hill,1,Queens
2014-04-01,Queensbridge/Ravenswood,2,Queens
2014-04-01,Randalls Island,1,Manhattan
2014-04-01,Red Hook,28,Brooklyn
2014-04-01,Rego Park,3,Queens
2014-04-01,Richmond Hill,1,Queens
2014-04-01,Ridgewood,5,Queens
2014-04-01,Riverdale/North Riverdale/Fieldston,15,Bronx
2014-04-01,Roosevelt Island,4,Manhattan
2014-04-01,Rosedale,1,Queens
2014-04-01,Saint Albans,1,Queens
2014-04-01,Saint George/New Brighton,1,Staten Island
2014-04-01,Schuylerville/Edgewater Park,3,Bronx
2014-04-01,Seaport,59,Manhattan
2014-04-01,Sheepshead Bay,1,Brooklyn
2014-04-01,SoHo,301,Manhattan
2014-04-01,Soundview/Bruckner,1,Bronx
2014-04-01,Soundview/Castle Hill,2,Bronx
2014-04-01,South Jamaica,2,Queens
2014-04-01,South Ozone Park,5,Queens
2014-04-01,South Williamsburg,7,Brooklyn
2014-04-01,Springfield Gardens South,2,Queens
2014-04-01,Spuyten Duyvil/Kingsbridge,3,Bronx
2014-04-01,Stapleton,1,Staten Island
2014-04-01,Starrett City,1,Brooklyn
2014-04-01,Steinway,16,Queens
2014-04-01,Stuy Town/Peter Cooper Village,72,Manhattan
2014-04-01,Stuyvesant Heights,28,Brooklyn
2014-04-01,Sunnyside,23,Queens
2014-04-01,Sunset Park East,4,Brooklyn
2014-04-01,Sunset Park West,21,Brooklyn
2014-04-01,Sutton Place/Turtle Bay North,207,Manhattan
2014-04-01,Times Sq/Theatre District,393,Manhattan
2014-04-01,TriBeCa/Civic Center,478,Manhattan
2014-04-01,Two Bridges/Seward Park,239,Manhattan
2014-04-01,UN/Turtle Bay South,150,Manhattan
2014-04-01,Union Sq,522,Manhattan
2014-04-01,University Heights/Morris Heights,2,Bronx
2014-04-01,Upper East Side North,312,Manhattan
2014-04-01,Upper East Side South,410,Manhattan
2014-04-01,Upper West Side North,146,Manhattan
2014-04-01,Upper West Side South,197,Manhattan
2014-04-01,Van Cortlandt Village,5,Bronx
2014-04-01,Van Nest/Morris Park,1,Bronx
2014-04-01,Washington Heights North,13,Manhattan
2014-04-01,Washington Heights South,32,Manhattan
2014-04-01,West Chelsea/Hudson Yards,288,Manhattan
2014-04-01,West Concourse,1,Bronx
2014-04-01,West Village,318,Manhattan
2014-04-01,Williamsbridge/Olinville,3,Bronx
2014-04-01,Williamsburg (North Side),143,Brooklyn
2014-04-01,Williamsburg (South Side),94,Brooklyn
2014-04-01,Windsor Terrace,8,Brooklyn
2014-04-01,Woodhaven,2,Queens
2014-04-01,Woodlawn/Wakefield,1,Bronx
2014-04-01,Woodside,5,Queens
2014-04-01,World Trade Center,82,Manhattan
2014-04-01,Yorkville East,120,Manhattan
2014-04-01,Yorkville West,162,Manhattan
2014-04-02,Alphabet City,77,Manhattan
2014-04-02,Astoria,29,Queens
2014-04-02,Auburndale,2,Queens
2014-04-02,Baisley Park,2,Queens
2014-04-02,Battery Park,2,Manhattan
2014-04-02,Battery Park City,165,Manhattan
2014-04-02,Bay Ridge,13,Brooklyn
2014-04-02,Bay Terrace/Fort Totten,1,Queens
2014-04-02,Bayside,3,Queens
2014-04-02,Bedford,56,Brooklyn
2014-04-02,Bedford Park,2,Bronx
2014-04-02,Belmont,6,Bronx
2014-04-02,Bensonhurst East,5,Brooklyn
2014-04-02,Bensonhurst West,4,Brooklyn
2014-04-02,Bloomingdale,13,Manhattan
2014-04-02,Boerum Hill,61,Brooklyn
2014-04-02,Borough Park,5,Brooklyn
2014-04-02,Briarwood/Jamaica Hills,1,Queens
2014-04-02,Brighton Beach,1,Brooklyn
2014-04-02,Bronx Park,1,Bronx
2014-04-02,Bronxdale,2,Bronx
2014-04-02,Brooklyn Heights,78,Brooklyn
2014-04-02,Brooklyn Navy Yard,9,Brooklyn
2014-04-02,Brownsville,4,Brooklyn
2014-04-02,Bushwick North,36,Brooklyn
2014-04-02,Bushwick South,58,Brooklyn
2014-04-02,Cambria Heights,1,Queens
2014-04-02,Canarsie,5,Brooklyn
2014-04-02,Carroll Gardens,44,Brooklyn
2014-04-02,Central Harlem,40,Manhattan
2014-04-02,Central Harlem North,24,Manhattan
2014-04-02,Central Park,99,Manhattan
2014-04-02,Chinatown,45,Manhattan
2014-04-02,Claremont/Bathgate,1,Bronx
2014-04-02,Clinton East,300,Manhattan
2014-04-02,Clinton Hill,77,Brooklyn
2014-04-02,Clinton West,139,Manhattan
2014-04-02,Cobble Hill,24,Brooklyn
2014-04-02,College Point,2,Queens
2014-04-02,Columbia Street,9,Brooklyn
2014-04-02,Coney Island,3,Brooklyn
2014-04-02,Corona,1,Queens
2014-04-02,Crown Heights North,52,Brooklyn
2014-04-02,Crown Heights South,7,Brooklyn
2014-04-02,DUMBO/Vinegar Hill,109,Brooklyn
2014-04-02,Douglaston,2,Queens
2014-04-02,Downtown Brooklyn/MetroTech,50,Brooklyn
2014-04-02,Dyker Heights,7,Brooklyn
2014-04-02,East Chelsea,379,Manhattan
2014-04-02,East Concourse/Concourse Village,2,Bronx
2014-04-02,East Elmhurst,8,Queens
2014-04-02,East Flatbush/Farragut,3,Brooklyn
2014-04-02,East Harlem North,20,Manhattan
2014-04-02,East Harlem South,35,Manhattan
2014-04-02,East New York,5,Brooklyn
2014-04-02,East New York/Pennsylvania Avenue,2,Brooklyn
2014-04-02,East Tremont,3,Bronx
2014-04-02,East Village,407,Manhattan
2014-04-02,East Williamsburg,56,Brooklyn
2014-04-02,Eastchester,4,Bronx
2014-04-02,Elmhurst,3,Queens
2014-04-02,Elmhurst/Maspeth,1,Queens
2014-04-02,Erasmus,1,Brooklyn
2014-04-02,Financial District North,209,Manhattan
2014-04-02,Financial District South,86,Manhattan
2014-04-02,Flatbush/Ditmas Park,19,Brooklyn
2014-04-02,Flatiron,278,Manhattan
2014-04-02,Flatlands,11,Brooklyn
2014-04-02,Flushing,5,Queens
2014-04-02,Flushing Meadows-Corona Park,10,Queens
2014-04-02,Fordham South,1,Bronx
2014-04-02,Forest Hills,13,Queens
2014-04-02,Fort Greene,72,Brooklyn
2014-04-02,Fresh Meadows,2,Queens
2014-04-02,Garment District,322,Manhattan
2014-04-02,Glendale,2,Queens
2014-04-02,Gowanus,30,Brooklyn
2014-04-02,Gramercy,277,Manhattan
2014-04-02,Gravesend,2,Brooklyn
2014-04-02,Greenpoint,95,Brooklyn
2014-04-02,Greenwich Village North,350,Manhattan
2014-04-02,Greenwich Village South,268,Manhattan
2014-04-02,Hamilton Heights,12,Manhattan
2014-04-02,Highbridge,3,Bronx
2014-04-02,Hillcrest/Pomonok,5,Queens
2014-04-02,Homecrest,9,Brooklyn
2014-04-02,Hudson Sq,236,Manhattan
2014-04-02,Hunts Point,1,Bronx
2014-04-02,Inwood,8,Manhattan
2014-04-02,Inwood Hill Park,1,Manhattan
2014-04-02,JFK Airport,284,Queens
2014-04-02,Jackson Heights,6,Queens
2014-04-02,Jamaica,2,Queens
2014-04-02,Jamaica Estates,1,Queens
2014-04-02,Kensington,4,Brooklyn
2014-04-02,Kew Gardens,2,Queens
2014-04-02,Kew Gardens Hills,4,Queens
2014-04-02,Kingsbridge Heights,1,Bronx
2014-04-02,Kips Bay,89,Manhattan
2014-04-02,LaGuardia Airport,314,Queens
2014-04-02,Lenox Hill East,150,Manhattan
2014-04-02,Lenox Hill West,241,Manhattan
2014-04-02,Lincoln Square East,233,Manhattan
2014-04-02,Lincoln Square West,141,Manhattan
2014-04-02,Little Italy/NoLiTa,365,Manhattan
2014-04-02,Long Island City/Hunters Point,65,Queens
2014-04-02,Long Island City/Queens Plaza,14,Queens
2014-04-02,Longwood,1,Bronx
2014-04-02,Lower East Side,253,Manhattan
2014-04-02,Madison,3,Brooklyn
2014-04-02,Manhattan Beach,1,Brooklyn
2014-04-02,Manhattan Valley,48,Manhattan
2014-04-02,Manhattanville,7,Manhattan
2014-04-02,Marine Park/Mill Basin,5,Brooklyn
2014-04-02,Maspeth,4,Queens
2014-04-02,Meatpacking/West Village West,325,Manhattan
2014-04-02,Melrose South,1,Bronx
2014-04-02,Middle Village,1,Queens
2014-04-02,Midtown Center,1062,Manhattan
2014-04-02,Midtown East,564,Manhattan
2014-04-02,Midtown North,531,Manhattan
2014-04-02,Midtown South,471,Manhattan
2014-04-02,Midwood,13,Brooklyn
2014-04-02,Morningside Heights,30,Manhattan
2014-04-02,Morrisania/Melrose,3,Bronx
2014-04-02,Mott Haven/Port Morris,3,Bronx
2014-04-02,Mount Hope,2,Bronx
2014-04-02,Murray Hill,389,Manhattan
2014-04-02,Murray Hill-Queens,2,Queens
2014-04-02,Newark Airport,95,EWR
2014-04-02,Norwood,3,Bronx
2014-04-02,Oakland Gardens,1,Queens
2014-04-02,Ocean Hill,3,Brooklyn
2014-04-02,Ocean Parkway South,4,Brooklyn
2014-04-02,Old Astoria,12,Queens
2014-04-02,Ozone Park,4,Queens
2014-04-02,Park Slope,109,Brooklyn
2014-04-02,Pelham Parkway,5,Bronx
2014-04-02,Penn Station/Madison Sq West,321,Manhattan
2014-04-02,Prospect Heights,42,Brooklyn
2014-04-02,Prospect Park,3,Brooklyn
2014-04-02,Prospect-Lefferts Gardens,27,Brooklyn
2014-04-02,Queens Village,2,Queens
2014-04-02,Queensboro Hill,2,Queens
2014-04-02,Queensbridge/Ravenswood,2,Queens
2014-04-02,Randalls Island,3,Manhattan
2014-04-02,Red Hook,22,Brooklyn
2014-04-02,Richmond Hill,1,Queens
2014-04-02,Ridgewood,5,Queens
2014-04-02,Riverdale/North Riverdale/Fieldston,11,Bronx
2014-04-02,Roosevelt Island,4,Manhattan
2014-04-02,Saint Albans,4,Queens
2014-04-02,Saint Michaels Cemetery/Woodside,1,Queens
2014-04-02,Schuylerville/Edgewater Park,1,Bronx
2014-04-02,Seaport,59,Manhattan
2014-04-02,Sheepshead Bay,2,Brooklyn
2014-04-02,SoHo,421,Manhattan
2014-04-02,Soundview/Castle Hill,1,Bronx
2014-04-02,South Beach/Dongan Hills,1,Staten Island
2014-04-02,South Jamaica,1,Queens
2014-04-02,South Ozone Park,1,Queens
2014-04-02,South Williamsburg,10,Brooklyn
2014-04-02,Springfield Gardens South,4,Queens
2014-04-02,Spuyten Duyvil/Kingsbridge,5,Bronx
2014-04-02,Starrett City,2,Brooklyn
2014-04-02,Steinway,14,Queens
2014-04-02,Stuy Town/Peter Cooper Village,90,Manhattan
2014-04-02,Stuyvesant Heights,28,Brooklyn
2014-04-02,Sunnyside,20,Queens
2014-04-02,Sunset Park East,2,Brooklyn
2014-04-02,Sunset Park West,27,Brooklyn
2014-04-02,Sutton Place/Turtle Bay North,220,Manhattan
2014-04-02,Times Sq/Theatre District,531,Manhattan
2014-04-02,TriBeCa/Civic Center,618,Manhattan
2014-04-02,Two Bridges/Seward Park,200,Manhattan
2014-04-02,UN/Turtle Bay South,158,Manhattan
2014-04-02,Union Sq,683,Manhattan
2014-04-02,University Heights/Morris Heights,1,Bronx
2014-04-02,Upper East Side North,382,Manhattan
2014-04-02,Upper East Side South,515,Manhattan
2014-04-02,Upper West Side North,149,Manhattan
2014-04-02,Upper West Side South,266,Manhattan
2014-04-02,Van Cortlandt Park,1,Bronx
2014-04-02,Van Cortlandt Village,3,Bronx
2014-04-02,Van Nest/Morris Park,2,Bronx
2014-04-02,Washington Heights North,14,Manhattan
2014-04-02,Washington Heights South,34,Manhattan
2014-04-02,West Chelsea/Hudson Yards,329,Manhattan
2014-04-02,West Concourse,4,Bronx
2014-04-02,West Farms/Bronx River,1,Bronx
2014-04-02,West Village,385,Manhattan
2014-04-02,Westchester Village/Unionport,1,Bronx
2014-04-02,Whitestone,2,Queens
2014-04-02,Willets Point,1,Queens
2014-04-02,Williamsburg (North Side),155,Brooklyn
2014-04-02,Williamsburg (South Side),122,Brooklyn
2014-04-02,Windsor Terrace,23,Brooklyn
2014-04-02,Woodhaven,4,Queens
2014-04-02,Woodlawn/Wakefield,1,Bronx
2014-04-02,Woodside,4,Queens
2014-04-02,World Trade Center,123,Manhattan
2014-04-02,Yorkville East,156,Manhattan
2014-04-02,Yorkville West,148,Manhattan
2014-04-03,Alphabet City,105,Manhattan
2014-04-03,Astoria,25,Queens
2014-04-03,Auburndale,2,Queens
2014-04-03,Baisley Park,2,Queens
2014-04-03,Bath Beach,2,Brooklyn
2014-04-03,Battery Park,3,Manhattan
2014-04-03,Battery Park City,211,Manhattan
2014-04-03,Bay Ridge,13,Brooklyn
2014-04-03,Bayside,2,Queens
2014-04-03,Bedford,54,Brooklyn
2014-04-03,Bedford Park,2,Bronx
2014-04-03,Belmont,7,Bronx
2014-04-03,Bensonhurst East,2,Brooklyn
2014-04-03,Bensonhurst West,4,Brooklyn
2014-04-03,Bloomingdale,17,Manhattan
2014-04-03,Boerum Hill,78,Brooklyn
2014-04-03,Borough Park,13,Brooklyn
2014-04-03,Briarwood/Jamaica Hills,1,Queens
2014-04-03,Brighton Beach,1,Brooklyn
2014-04-03,Bronx Park,1,Bronx
2014-04-03,Bronxdale,1,Bronx
2014-04-03,Brooklyn Heights,83,Brooklyn
2014-04-03,Brooklyn Navy Yard,13,Brooklyn
2014-04-03,Brownsville,2,Brooklyn
2014-04-03,Bushwick North,31,Brooklyn
2014-04-03,Bushwick South,50,Brooklyn
2014-04-03,Canarsie,3,Brooklyn
2014-04-03,Carroll Gardens,40,Brooklyn
2014-04-03,Central Harlem,44,Manhattan
2014-04-03,Central Harlem North,28,Manhattan
2014-04-03,Central Park,96,Manhattan
2014-04-03,Chinatown,76,Manhattan
2014-04-03,Claremont/Bathgate,1,Bronx
2014-04-03,Clinton East,341,Manhattan
2014-04-03,Clinton Hill,68,Brooklyn
2014-04-03,Clinton West,134,Manhattan
2014-04-03,Co-Op City,2,Bronx
2014-04-03,Cobble Hill,14,Brooklyn
2014-04-03,Columbia Street,9,Brooklyn
2014-04-03,Coney Island,2,Brooklyn
2014-04-03,Corona,4,Queens
2014-04-03,Crotona Park East,1,Bronx
2014-04-03,Crown Heights North,72,Brooklyn
2014-04-03,Crown Heights South,18,Brooklyn
2014-04-03,Cypress Hills,1,Brooklyn
2014-04-03,DUMBO/Vinegar Hill,96,Brooklyn
2014-04-03,Downtown Brooklyn/MetroTech,71,Brooklyn
2014-04-03,Dyker Heights,6,Brooklyn
2014-04-03,East Chelsea,554,Manhattan
2014-04-03,East Concourse/Concourse Village,8,Bronx
2014-04-03,East Elmhurst,10,Queens
2014-04-03,East Flatbush/Farragut,3,Brooklyn
2014-04-03,East Flatbush/Remsen Village,7,Brooklyn
2014-04-03,East Flushing,4,Queens
2014-04-03,East Harlem North,24,Manhattan
2014-04-03,East Harlem South,44,Manhattan
2014-04-03,East New York,5,Brooklyn
2014-04-03,East New York/Pennsylvania Avenue,1,Brooklyn
2014-04-03,East Tremont,1,Bronx
2014-04-03,East Village,479,Manhattan
2014-04-03,East Williamsburg,88,Brooklyn
2014-04-03,Eastchester,1,Bronx
2014-04-03,Elmhurst,6,Queens
2014-04-03,Erasmus,1,Brooklyn
2014-04-03,Far Rockaway,1,Queens
2014-04-03,Financial District North,244,Manhattan
2014-04-03,Financial District South,115,Manhattan
2014-04-03,Flatbush/Ditmas Park,29,Brooklyn
2014-04-03,Flatiron,382,Manhattan
2014-04-03,Flatlands,3,Brooklyn
2014-04-03,Flushing,6,Queens
2014-04-03,Flushing Meadows-Corona Park,5,Queens
2014-04-03,Fordham South,1,Bronx
2014-04-03,Forest Hills,18,Queens
2014-04-03,Forest Park/Highland Park,1,Queens
2014-04-03,Fort Greene,68,Brooklyn
2014-04-03,Fresh Meadows,2,Queens
2014-04-03,Garment District,354,Manhattan
2014-04-03,Glendale,1,Queens
2014-04-03,Gowanus,46,Brooklyn
2014-04-03,Gramercy,342,Manhattan
2014-04-03,Gravesend,2,Brooklyn
2014-04-03,Green-Wood Cemetery,1,Brooklyn
2014-04-03,Greenpoint,121,Brooklyn
2014-04-03,Greenwich Village North,494,Manhattan
2014-04-03,Greenwich Village South,416,Manhattan
2014-04-03,Grymes Hill/Clifton,1,Staten Island
2014-04-03,Hamilton Heights,20,Manhattan
2014-04-03,Highbridge,2,Bronx
2014-04-03,Hillcrest/Pomonok,2,Queens
2014-04-03,Hollis,1,Queens
2014-04-03,Homecrest,11,Brooklyn
2014-04-03,Hudson Sq,249,Manhattan
2014-04-03,Hunts Point,1,Bronx
2014-04-03,Inwood,7,Manhattan
2014-04-03,Inwood Hill Park,1,Manhattan
2014-04-03,JFK Airport,296,Queens
2014-04-03,Jackson Heights,9,Queens
2014-04-03,Jamaica,2,Queens
2014-04-03,Jamaica Estates,4,Queens
2014-04-03,Kensington,12,Brooklyn
2014-04-03,Kew Gardens,3,Queens
2014-04-03,Kew Gardens Hills,8,Queens
2014-04-03,Kingsbridge Heights,2,Bronx
2014-04-03,Kips Bay,103,Manhattan
2014-04-03,LaGuardia Airport,505,Queens
2014-04-03,Laurelton,1,Queens
2014-04-03,Lenox Hill East,143,Manhattan
2014-04-03,Lenox Hill West,253,Manhattan
2014-04-03,Lincoln Square East,291,Manhattan
2014-04-03,Lincoln Square West,148,Manhattan
2014-04-03,Little Italy/NoLiTa,452,Manhattan
2014-04-03,Long Island City/Hunters Point,62,Queens
2014-04-03,Long Island City/Queens Plaza,16,Queens
2014-04-03,Lower East Side,284,Manhattan
2014-04-03,Madison,4,Brooklyn
2014-04-03,Manhattan Valley,34,Manhattan
2014-04-03,Manhattanville,10,Manhattan
2014-04-03,Marine Park/Mill Basin,4,Brooklyn
2014-04-03,Mariners Harbor,1,Staten Island
2014-04-03,Maspeth,2,Queens
2014-04-03,Meatpacking/West Village West,467,Manhattan
2014-04-03,Melrose South,1,Bronx
2014-04-03,Middle Village,4,Queens
2014-04-03,Midtown Center,1271,Manhattan
2014-04-03,Midtown East,647,Manhattan
2014-04-03,Midtown North,562,Manhattan
2014-04-03,Midtown South,540,Manhattan
2014-04-03,Midwood,17,Brooklyn
2014-04-03,Morningside Heights,44,Manhattan
2014-04-03,Morrisania/Melrose,1,Bronx
2014-04-03,Mott Haven/Port Morris,5,Bronx
2014-04-03,Mount Hope,2,Bronx
2014-04-03,Murray Hill,517,Manhattan
2014-04-03,Murray Hill-Queens,1,Queens
2014-04-03,Newark Airport,137,EWR
2014-04-03,North Corona,1,Queens
2014-04-03,Norwood,4,Bronx
2014-04-03,Oakland Gardens,1,Queens
2014-04-03,Ocean Hill,3,Brooklyn
2014-04-03,Ocean Parkway South,5,Brooklyn
2014-04-03,Old Astoria,10,Queens
2014-04-03,Ozone Park,3,Queens
2014-04-03,Park Slope,114,Brooklyn
2014-04-03,Pelham Parkway,1,Bronx
2014-04-03,Penn Station/Madison Sq West,349,Manhattan
2014-04-03,Prospect Heights,51,Brooklyn
2014-04-03,Prospect Park,6,Brooklyn
2014-04-03,Prospect-Lefferts Gardens,18,Brooklyn
2014-04-03,Queens Village,2,Queens
2014-04-03,Randalls Island,2,Manhattan
2014-04-03,Red Hook,29,Brooklyn
2014-04-03,Rego Park,5,Queens
2014-04-03,Richmond Hill,7,Queens
2014-04-03,Ridgewood,15,Queens
2014-04-03,Riverdale/North Riverdale/Fieldston,17,Bronx
2014-04-03,Roosevelt Island,2,Manhattan
2014-04-03,Saint Albans,1,Queens
2014-04-03,Seaport,87,Manhattan
2014-04-03,Sheepshead Bay,2,Brooklyn
2014-04-03,SoHo,496,Manhattan
2014-04-03,Soundview/Castle Hill,2,Bronx
2014-04-03,South Ozone Park,3,Queens
2014-04-03,South Williamsburg,8,Brooklyn
2014-04-03,Springfield Gardens North,2,Queens
2014-04-03,Springfield Gardens South,1,Queens
2014-04-03,Spuyten Duyvil/Kingsbridge,3,Bronx
2014-04-03,Stapleton,1,Staten Island
2014-04-03,Starrett City,1,Brooklyn
2014-04-03,Steinway,19,Queens
2014-04-03,Stuy Town/Peter Cooper Village,84,Manhattan
2014-04-03,Stuyvesant Heights,33,Brooklyn
2014-04-03,Sunnyside,22,Queens
2014-04-03,Sunset Park East,6,Brooklyn
2014-04-03,Sunset Park West,24,Brooklyn
2014-04-03,Sutton Place/Turtle Bay North,247,Manhattan
2014-04-03,Times Sq/Theatre District,735,Manhattan
2014-04-03,TriBeCa/Civic Center,752,Manhattan
2014-04-03,Two Bridges/Seward Park,67,Manhattan
2014-04-03,UN/Turtle Bay South,226,Manhattan
2014-04-03,Union Sq,892,Manhattan
2014-04-03,University Heights/Morris Heights,4,Bronx
2014-04-03,Upper East Side North,357,Manhattan
2014-04-03,Upper East Side South,476,Manhattan
2014-04-03,Upper West Side North,162,Manhattan
2014-04-03,Upper West Side South,264,Manhattan
2014-04-03,Van Cortlandt Village,4,Bronx
2014-04-03,Washington Heights North,15,Manhattan
2014-04-03,Washington Heights South,16,Manhattan
2014-04-03,West Chelsea/Hudson Yards,427,Manhattan
2014-04-03,West Concourse,5,Bronx
2014-04-03,West Village,625,Manhattan
2014-04-03,Westchester Village/Unionport,2,Bronx
2014-04-03,Willets Point,1,Queens
2014-04-03,Williamsbridge/Olinville,2,Bronx
2014-04-03,Williamsburg (North Side),185,Brooklyn
2014-04-03,Williamsburg (South Side),136,Brooklyn
2014-04-03,Windsor Terrace,11,Brooklyn
2014-04-03,Woodhaven,2,Queens
2014-04-03,Woodside,3,Queens
2014-04-03,World Trade Center,117,Manhattan
2014-04-03,Yorkville East,131,Manhattan
2014-04-03,Yorkville West,159,Manhattan
2014-04-04,Allerton/Pelham Gardens,1,Bronx
2014-04-04,Alphabet City,146,Manhattan
