,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_bike_mi,dur_bike_mins,dist_drive_2pm_mi,dur_drive_2pm_mins,dist_drive_2pm_sat_mi,dur_drive_2pm_sat_mins,dist_drive_6pm_mi,dur_drive_6pm_mins,dist_drive_9am_mi,dur_drive_9am_mins,dist_transit_2pm_mi,dur_transit_2pm_mins,dist_transit_2pm_sat_mi,dur_transit_2pm_sat_mins,dist_transit_6pm_mi,dur_transit_6pm_mins,dist_transit_9am_mi,dur_transit_9am_mins
24,2022.0,40.758491,-73.959206,534.0,40.702551,-74.012723,5.7,33.0,6.1,13.0,6.1,12.0,6.1,15.0,6.1,14.0,5.7,32.0,5.7,31.0,5.7,32.0,5.7,37.0
25,2022.0,40.758491,-73.959206,406.0,40.695128,-73.995951,6.1,37.0,7.4,22.0,7.4,23.0,7.4,30.0,7.4,22.0,7.5,41.0,7.5,40.0,7.5,41.0,7.5,46.0
26,2022.0,40.758491,-73.959206,239.0,40.691966,-73.981302,6.3,36.0,7.8,24.0,7.8,25.0,7.8,32.0,7.8,23.0,8.0,41.0,8.0,40.0,8.0,41.0,7.6,42.0
27,2022.0,40.758491,-73.959206,242.0,40.697883,-73.973503,6.0,35.0,7.9,25.0,7.9,25.0,7.9,33.0,7.9,23.0,7.6,54.0,7.6,54.0,7.6,54.0,7.6,54.0
28,2022.0,40.758491,-73.959206,217.0,40.702772,-73.993836,5.8,32.0,6.9,18.0,6.9,19.0,6.9,27.0,6.9,17.0,7.1,45.0,7.1,45.0,7.1,45.0,7.1,45.0
29,2022.0,40.758491,-73.959206,364.0,40.689004,-73.960239,7.3,44.0,8.9,31.0,7.1,28.0,7.1,36.0,8.9,29.0,7.0,44.0,7.0,48.0,7.0,43.0,7.0,43.0
30,3002.0,40.711512,-74.015756,493.0,40.7568,-73.982912,4.9,27.0,6.7,27.0,6.7,21.0,6.7,28.0,6.7,31.0,4.0,27.0,4.6,33.0,4.0,28.0,4.6,31.0
31,3002.0,40.711512,-74.015756,348.0,40.72491,-74.001547,1.6,12.0,1.7,12.0,1.7,12.0,1.7,12.0,1.7,13.0,1.7,19.0,1.8,21.0,1.8,19.0,1.7,17.0
32,3002.0,40.711512,-74.015756,382.0,40.734927,-73.992005,2.7,17.0,2.7,19.0,2.7,18.0,2.7,19.0,2.7,20.0,2.8,20.0,2.5,22.0,2.4,21.0,2.5,20.0
33,3002.0,40.711512,-74.015756,459.0,40.746745,-74.007756,2.7,15.0,2.7,14.0,2.7,13.0,2.7,13.0,2.7,14.0,3.2,31.0,3.2,30.0,3.2,30.0,3.2,30.0
34,3002.0,40.711512,-74.015756,534.0,40.702551,-74.012723,0.9,5.0,0.9,7.0,0.9,7.0,0.9,6.0,0.9,7.0,0.9,8.0,0.9,8.0,0.9,8.0,1.1,13.0
35,3002.0,40.711512,-74.015756,406.0,40.695128,-73.995951,3.0,18.0,3.7,15.0,3.7,13.0,3.7,13.0,3.7,13.0,2.4,22.0,2.4,20.0,2.4,23.0,2.4,21.0
36,3002.0,40.711512,-74.015756,239.0,40.691966,-73.981302,3.4,19.0,4.3,19.0,4.3,19.0,5.8,21.0,4.3,17.0,3.1,24.0,3.1,22.0,3.1,25.0,3.1,23.0
37,3002.0,40.711512,-74.015756,242.0,40.697883,-73.973503,3.9,22.0,4.4,20.0,5.7,18.0,5.7,19.0,4.4,18.0,3.9,40.0,3.9,38.0,3.9,41.0,3.9,39.0
38,3002.0,40.711512,-74.015756,217.0,40.702772,-73.993836,3.1,18.0,3.5,13.0,3.5,14.0,4.5,16.0,3.5,12.0,2.1,23.0,2.0,26.0,2.0,25.0,2.0,23.0
39,3002.0,40.711512,-74.015756,364.0,40.689004,-73.960239,4.4,26.0,5.4,26.0,7.2,24.0,7.2,25.0,5.4,24.0,3.8,32.0,3.9,32.0,3.8,35.0,3.8,34.0
40,412.0,40.715815,-73.994224,493.0,40.7568,-73.982912,3.8,25.0,5.1,28.0,5.1,22.0,5.1,30.0,5.1,28.0,3.8,18.0,3.5,17.0,3.5,18.0,3.8,19.0
41,412.0,40.715815,-73.994224,348.0,40.72491,-74.001547,1.1,9.0,1.1,12.0,1.1,13.0,1.1,12.0,1.1,11.0,1.3,14.0,1.3,14.0,1.3,15.0,1.3,15.0
42,412.0,40.715815,-73.994224,382.0,40.734927,-73.992005,1.7,13.0,1.9,16.0,1.9,16.0,1.9,15.0,1.9,15.0,1.9,16.0,1.9,17.0,1.8,17.0,1.9,16.0
43,412.0,40.715815,-73.994224,459.0,40.746745,-74.007756,3.0,20.0,3.1,23.0,3.1,22.0,3.1,23.0,3.1,21.0,3.1,32.0,3.1,33.0,3.1,34.0,3.1,36.0
44,412.0,40.715815,-73.994224,534.0,40.702551,-74.012723,1.8,10.0,1.7,10.0,1.7,9.0,1.7,10.0,1.7,10.0,1.7,18.0,1.7,14.0,2.1,22.0,2.0,17.0
45,412.0,40.715815,-73.994224,406.0,40.695128,-73.995951,2.3,14.0,2.9,18.0,2.9,17.0,2.9,20.0,2.9,17.0,2.4,23.0,2.4,23.0,2.4,24.0,2.4,24.0
46,412.0,40.715815,-73.994224,239.0,40.691966,-73.981302,2.5,14.0,2.6,14.0,2.6,13.0,2.6,17.0,2.6,14.0,2.5,15.0,2.2,17.0,2.5,16.0,2.5,15.0
47,412.0,40.715815,-73.994224,242.0,40.697883,-73.973503,2.2,12.0,2.7,12.0,2.7,12.0,2.7,16.0,2.7,12.0,2.1,26.0,2.1,26.0,2.1,26.0,2.1,26.0
48,412.0,40.715815,-73.994224,217.0,40.702772,-73.993836,2.0,10.0,2.7,11.0,2.7,11.0,2.7,17.0,2.7,11.0,1.6,17.0,1.6,17.0,1.6,17.0,1.6,17.0
49,412.0,40.715815,-73.994224,364.0,40.689004,-73.960239,3.5,21.0,3.6,19.0,3.6,19.0,3.6,24.0,3.6,20.0,5.1,29.0,5.2,34.0,5.1,35.0,3.9,30.0
50,262.0,40.691782,-73.97373,493.0,40.7568,-73.982912,6.4,42.0,7.9,36.0,7.9,29.0,7.9,37.0,7.9,41.0,5.8,37.0,5.8,38.0,6.2,33.0,6.2,33.0
51,262.0,40.691782,-73.97373,348.0,40.72491,-74.001547,3.7,26.0,3.4,19.0,3.4,19.0,3.4,19.0,3.4,21.0,4.9,27.0,4.9,26.0,4.9,26.0,4.9,27.0
52,262.0,40.691782,-73.97373,382.0,40.734927,-73.992005,4.3,30.0,4.1,25.0,4.1,24.0,4.1,24.0,4.1,28.0,4.2,26.0,4.2,28.0,4.2,27.0,4.2,26.0
53,262.0,40.691782,-73.97373,459.0,40.746745,-74.007756,5.6,37.0,5.2,28.0,5.2,26.0,5.2,27.0,5.2,29.0,6.4,40.0,6.4,40.0,6.4,40.0,6.4,41.0
54,262.0,40.691782,-73.97373,534.0,40.702551,-74.012723,4.4,27.0,3.9,16.0,3.7,15.0,3.9,17.0,3.7,18.0,2.9,23.0,2.5,20.0,2.5,21.0,2.5,21.0
55,262.0,40.691782,-73.97373,406.0,40.695128,-73.995951,1.8,12.0,2.1,17.0,2.1,16.0,2.1,16.0,2.0,17.0,1.9,23.0,1.9,22.0,1.5,21.0,1.9,23.0
56,262.0,40.691782,-73.97373,239.0,40.691966,-73.981302,0.7,4.0,0.7,5.0,0.7,4.0,0.7,5.0,0.7,6.0,0.5,10.0,0.5,10.0,0.5,10.0,0.5,10.0
57,262.0,40.691782,-73.97373,242.0,40.697883,-73.973503,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,5.0,0.5,9.0,0.5,9.0,0.5,9.0,0.5,9.0
58,262.0,40.691782,-73.97373,217.0,40.702772,-73.993836,1.8,11.0,1.8,12.0,1.8,11.0,1.8,13.0,1.8,13.0,2.5,22.0,2.5,21.0,2.5,21.0,2.5,22.0
59,262.0,40.691782,-73.97373,364.0,40.689004,-73.960239,0.9,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.3,13.0,1.3,13.0,1.3,13.0,1.3,13.0
60,539.0,40.715348,-73.960241,493.0,40.7568,-73.982912,5.5,34.0,5.0,34.0,6.0,32.0,5.0,33.0,5.0,34.0,4.2,32.0,4.6,31.0,4.2,33.0,4.2,31.0
61,539.0,40.715348,-73.960241,348.0,40.72491,-74.001547,3.0,19.0,3.1,22.0,3.1,23.0,3.1,25.0,3.1,27.0,3.5,30.0,4.5,33.0,3.5,29.0,4.5,33.0
62,539.0,40.715348,-73.960241,382.0,40.734927,-73.992005,3.5,23.0,3.6,26.0,3.6,26.0,3.6,29.0,3.6,30.0,2.5,13.0,2.5,13.0,2.5,13.0,2.5,14.0
63,539.0,40.715348,-73.960241,459.0,40.746745,-74.007756,5.2,33.0,7.1,34.0,7.1,31.0,5.1,37.0,7.1,37.0,3.7,28.0,3.7,28.0,3.7,27.0,3.7,28.0
64,539.0,40.715348,-73.960241,534.0,40.702551,-74.012723,4.1,24.0,5.3,22.0,5.7,21.0,5.3,26.0,5.7,27.0,5.1,36.0,5.3,33.0,5.1,35.0,4.0,34.0
65,539.0,40.715348,-73.960241,406.0,40.695128,-73.995951,4.5,26.0,4.8,19.0,4.8,16.0,3.9,32.0,4.8,21.0,6.4,44.0,7.2,42.0,6.4,42.0,7.2,46.0
66,539.0,40.715348,-73.960241,239.0,40.691966,-73.981302,3.4,19.0,3.0,17.0,3.6,15.0,3.0,20.0,3.0,18.0,4.4,31.0,3.3,31.0,4.4,32.0,4.4,31.0
67,539.0,40.715348,-73.960241,242.0,40.697883,-73.973503,2.5,15.0,2.3,13.0,2.3,12.0,2.3,16.0,2.3,15.0,2.7,26.0,2.7,22.0,2.7,24.0,2.7,26.0
68,539.0,40.715348,-73.960241,217.0,40.702772,-73.993836,3.8,21.0,3.4,13.0,3.4,11.0,3.4,28.0,3.4,15.0,3.2,24.0,3.2,25.0,3.2,23.0,3.2,24.0
69,539.0,40.715348,-73.960241,364.0,40.689004,-73.960239,2.7,17.0,2.6,16.0,2.6,15.0,2.6,19.0,2.6,17.0,2.6,19.0,2.6,20.0,2.6,19.0,2.6,18.0
70,143.0,40.692395,-73.993379,493.0,40.7568,-73.982912,5.9,36.0,7.3,33.0,7.3,25.0,7.3,33.0,7.3,35.0,5.7,30.0,6.0,30.0,5.7,31.0,6.0,32.0
71,143.0,40.692395,-73.993379,348.0,40.72491,-74.001547,3.3,20.0,3.1,19.0,3.1,19.0,3.1,19.0,3.1,19.0,3.5,24.0,3.5,24.0,3.7,22.0,3.7,22.0
72,143.0,40.692395,-73.993379,382.0,40.734927,-73.992005,3.9,25.0,3.7,25.0,3.7,24.0,3.7,23.0,3.7,26.0,4.3,22.0,4.6,20.0,4.3,23.0,4.6,23.0
73,143.0,40.692395,-73.993379,459.0,40.746745,-74.007756,4.7,27.0,4.8,26.0,4.8,26.0,4.8,25.0,4.8,27.0,5.2,34.0,5.2,33.0,5.2,33.0,5.2,35.0
74,143.0,40.692395,-73.993379,534.0,40.702551,-74.012723,2.9,17.0,3.2,13.0,3.2,12.0,3.2,13.0,3.2,14.0,1.4,9.0,1.4,9.0,1.4,9.0,1.4,9.0
75,143.0,40.692395,-73.993379,406.0,40.695128,-73.995951,0.3,2.0,0.4,3.0,0.4,3.0,0.4,3.0,0.4,4.0,0.3,6.0,0.3,6.0,0.3,6.0,0.3,6.0
76,143.0,40.692395,-73.993379,239.0,40.691966,-73.981302,1.3,7.0,1.3,11.0,1.3,10.0,1.3,10.0,1.3,11.0,1.1,12.0,1.0,11.0,1.0,11.0,1.0,11.0
77,143.0,40.692395,-73.993379,242.0,40.697883,-73.973503,1.8,11.0,1.4,12.0,1.4,10.0,1.4,11.0,1.4,12.0,1.6,21.0,1.6,19.0,1.6,18.0,2.4,25.0
78,143.0,40.692395,-73.993379,217.0,40.702772,-73.993836,0.8,4.0,0.8,7.0,0.8,6.0,0.8,7.0,0.8,7.0,0.8,16.0,1.1,14.0,1.0,16.0,1.0,16.0
79,143.0,40.692395,-73.993379,364.0,40.689004,-73.960239,1.9,14.0,2.4,18.0,2.4,16.0,2.4,17.0,2.4,18.0,1.9,16.0,1.9,17.0,1.9,17.0,1.9,17.0
80,395.0,40.68807,-73.984106,493.0,40.7568,-73.982912,6.1,38.0,7.4,33.0,7.4,26.0,7.4,35.0,7.4,36.0,6.0,28.0,6.4,32.0,5.7,28.0,5.7,28.0
81,395.0,40.68807,-73.984106,348.0,40.72491,-74.001547,3.4,22.0,3.2,19.0,3.2,18.0,3.2,19.0,3.2,20.0,3.7,18.0,3.7,17.0,3.7,18.0,3.7,18.0
82,395.0,40.68807,-73.984106,382.0,40.734927,-73.992005,4.0,26.0,3.8,24.0,3.8,24.0,3.8,23.0,3.8,26.0,5.0,26.0,4.0,21.0,4.0,22.0,4.0,21.0
83,395.0,40.68807,-73.984106,459.0,40.746745,-74.007756,5.0,30.0,4.9,27.0,4.9,25.0,4.9,27.0,4.9,27.0,5.2,30.0,5.2,30.0,5.2,30.0,5.2,30.0
84,395.0,40.68807,-73.984106,534.0,40.702551,-74.012723,3.3,19.0,3.4,14.0,3.4,13.0,3.4,15.0,3.4,15.0,2.2,15.0,2.2,14.0,2.2,14.0,2.2,15.0
85,395.0,40.68807,-73.984106,406.0,40.695128,-73.995951,1.0,7.0,1.1,10.0,1.1,9.0,1.1,9.0,1.1,10.0,1.2,14.0,1.2,14.0,1.2,14.0,1.2,15.0
86,395.0,40.68807,-73.984106,239.0,40.691966,-73.981302,1.2,7.0,0.8,7.0,0.8,7.0,0.8,7.0,0.8,8.0,0.3,7.0,0.3,7.0,0.3,7.0,0.3,7.0
87,395.0,40.68807,-73.984106,242.0,40.697883,-73.973503,1.7,10.0,1.5,10.0,1.5,10.0,1.5,10.0,1.5,11.0,1.6,21.0,1.7,20.0,1.6,18.0,1.2,24.0
88,395.0,40.68807,-73.984106,217.0,40.702772,-73.993836,1.5,9.0,1.8,13.0,1.8,11.0,1.5,13.0,1.4,12.0,1.4,13.0,1.4,12.0,1.4,13.0,1.4,13.0
89,395.0,40.68807,-73.984106,364.0,40.689004,-73.960239,1.3,9.0,1.3,9.0,1.3,9.0,1.3,9.0,1.3,10.0,1.4,6.0,1.4,7.0,1.4,7.0,1.4,7.0
90,443.0,40.708531,-73.96409,493.0,40.7568,-73.982912,5.3,33.0,5.9,34.0,5.9,30.0,5.7,35.0,5.7,38.0,5.5,32.0,5.9,42.0,5.5,31.0,5.5,32.0
91,443.0,40.708531,-73.96409,348.0,40.72491,-74.001547,2.9,18.0,3.0,21.0,3.0,21.0,3.0,24.0,3.0,25.0,3.3,26.0,3.0,29.0,3.3,25.0,3.3,26.0
92,443.0,40.708531,-73.96409,382.0,40.734927,-73.992005,3.4,22.0,3.6,24.0,3.6,24.0,3.6,27.0,3.6,29.0,3.0,24.0,3.0,24.0,3.0,24.0,3.0,25.0
93,443.0,40.708531,-73.96409,459.0,40.746745,-74.007756,5.1,31.0,5.0,33.0,6.7,31.0,5.0,36.0,6.7,37.0,4.2,39.0,4.2,39.0,4.2,38.0,4.2,39.0
94,443.0,40.708531,-73.96409,534.0,40.702551,-74.012723,3.9,23.0,5.2,20.0,5.2,21.0,5.2,24.0,5.2,26.0,4.2,28.0,4.2,29.0,4.2,29.0,4.2,29.0
95,443.0,40.708531,-73.96409,406.0,40.695128,-73.995951,3.6,22.0,4.4,20.0,4.4,17.0,3.6,30.0,4.4,21.0,3.6,43.0,3.6,38.0,3.1,37.0,3.1,37.0
96,443.0,40.708531,-73.96409,239.0,40.691966,-73.981302,2.6,16.0,2.7,16.0,2.7,13.0,2.7,18.0,2.7,18.0,2.4,28.0,2.4,25.0,2.4,25.0,2.4,27.0
97,443.0,40.708531,-73.96409,242.0,40.697883,-73.973503,1.7,11.0,2.0,12.0,2.0,10.0,2.0,14.0,2.0,14.0,1.8,19.0,1.8,16.0,1.8,17.0,1.8,18.0
98,443.0,40.708531,-73.96409,217.0,40.702772,-73.993836,3.0,17.0,3.1,14.0,3.1,12.0,3.1,21.0,3.1,16.0,2.2,25.0,3.1,32.0,2.2,23.0,2.4,26.0
99,443.0,40.708531,-73.96409,364.0,40.689004,-73.960239,1.9,13.0,2.2,15.0,2.2,13.0,2.2,17.0,2.2,17.0,2.4,22.0,2.4,23.0,2.4,22.0,2.4,22.0
