,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_drive_2pm_mi_pes,dur_drive_2pm_mins_pes,dist_transit_2pm_sat_mi_pes,dur_transit_2pm_sat_mins_pes,dist_drive_6pm_mi_pes,dur_drive_6pm_mins_pes,dist_drive_9am_mi_pes,dur_drive_9am_mins_pes,dist_walk_mi,dur_walk_secs
41,522.0,40.757148,-73.972078,223.0,40.737815,-73.999947,2.5,35.0,2.6,18.0,2.6,36.0,2.6,36.0,2.5,3018.0
42,522.0,40.757148,-73.972078,410.0,40.720664,-73.98518,3.9,28.0,3.9,17.0,3.9,30.0,3.9,31.0,3.1,3790.0
43,522.0,40.757148,-73.972078,320.0,40.717571,-74.005549,5.9,38.0,3.5,25.0,3.5,48.0,3.5,47.0,3.5,4207.0
44,522.0,40.757148,-73.972078,489.0,40.750664,-74.001768,2.6,36.0,2.6,20.0,2.6,37.0,2.6,38.0,2.3,2784.0
45,522.0,40.757148,-73.972078,263.0,40.71729,-73.996375,5.8,39.0,5.8,24.0,3.7,47.0,3.6,48.0,3.2,3890.0
46,522.0,40.757148,-73.972078,2006.0,40.765909,-73.976342,0.9,16.0,0.9,8.0,0.9,15.0,0.9,16.0,0.9,1118.0
47,522.0,40.757148,-73.972078,402.0,40.740343,-73.989551,1.8,26.0,1.8,13.0,1.8,27.0,1.8,26.0,1.7,2077.0
48,522.0,40.757148,-73.972078,345.0,40.736494,-73.997044,2.3,33.0,2.4,17.0,2.4,34.0,2.4,34.0,2.3,2805.0
49,522.0,40.757148,-73.972078,267.0,40.750977,-73.987654,1.4,23.0,1.4,10.0,1.4,22.0,1.4,22.0,1.3,1594.0
50,462.0,40.74692,-74.004519,405.0,40.739323,-74.008119,0.8,11.0,0.8,7.0,0.8,9.0,0.8,9.0,0.6,759.0
51,462.0,40.74692,-74.004519,223.0,40.737815,-73.999947,1.4,16.0,1.4,9.0,1.4,15.0,1.4,17.0,0.9,1153.0
52,462.0,40.74692,-74.004519,410.0,40.720664,-73.98518,2.8,37.0,3.6,21.0,2.8,35.0,2.8,37.0,2.5,3153.0
53,462.0,40.74692,-74.004519,320.0,40.717571,-74.005549,2.7,31.0,2.7,18.0,2.7,30.0,2.7,35.0,2.3,2793.0
54,462.0,40.74692,-74.004519,489.0,40.750664,-74.001768,0.7,8.0,0.7,5.0,0.7,7.0,0.7,7.0,0.3,397.0
55,462.0,40.74692,-74.004519,263.0,40.71729,-73.996375,2.8,36.0,2.8,20.0,2.8,33.0,3.1,32.0,2.5,3114.0
56,462.0,40.74692,-74.004519,2006.0,40.765909,-73.976342,3.0,35.0,2.5,19.0,3.0,33.0,2.5,37.0,2.5,3072.0
57,462.0,40.74692,-74.004519,402.0,40.740343,-73.989551,0.9,14.0,0.9,7.0,0.9,12.0,0.9,13.0,0.9,1144.0
58,462.0,40.74692,-74.004519,345.0,40.736494,-73.997044,1.5,21.0,1.5,10.0,1.5,19.0,1.5,20.0,1.1,1372.0
59,462.0,40.74692,-74.004519,267.0,40.750977,-73.987654,1.3,22.0,1.3,12.0,1.3,20.0,1.3,22.0,1.3,1619.0
60,446.0,40.744876,-73.995299,405.0,40.739323,-74.008119,1.1,14.0,1.1,8.0,1.1,12.0,1.1,13.0,1.0,1185.0
61,446.0,40.744876,-73.995299,223.0,40.737815,-73.999947,1.0,11.0,1.0,7.0,1.0,11.0,1.0,12.0,0.6,703.0
62,446.0,40.744876,-73.995299,410.0,40.720664,-73.98518,3.1,30.0,3.1,18.0,2.5,33.0,3.1,32.0,2.2,2742.0
63,446.0,40.744876,-73.995299,320.0,40.717571,-74.005549,2.3,26.0,2.3,15.0,2.3,25.0,2.3,29.0,2.1,2581.0
64,446.0,40.744876,-73.995299,489.0,40.750664,-74.001768,0.8,12.0,1.0,7.0,0.8,10.0,0.8,10.0,0.7,805.0
65,446.0,40.744876,-73.995299,263.0,40.71729,-73.996375,2.4,31.0,2.4,17.0,2.4,29.0,2.4,31.0,2.3,2802.0
66,446.0,40.744876,-73.995299,2006.0,40.765909,-73.976342,1.9,32.0,1.9,14.0,1.9,29.0,1.9,29.0,1.9,2356.0
67,446.0,40.744876,-73.995299,402.0,40.740343,-73.989551,0.5,8.0,0.5,5.0,0.5,8.0,0.5,8.0,0.5,675.0
