,trip_cat,num_rides,neighbourhood
0,0,861768,upper_manhattan
1,1,1030930,upper_manhattan
2,2,516330,upper_manhattan
3,3,220130,upper_manhattan
4,4,106017,upper_manhattan
5,5,61505,upper_manhattan
6,6,42259,upper_manhattan
7,7,32340,upper_manhattan
8,8,26343,upper_manhattan
9,9,18364,upper_manhattan
10,10,11077,upper_manhattan
11,11,5408,upper_manhattan
12,12,2813,upper_manhattan
13,13,1987,upper_manhattan
14,14,1549,upper_manhattan
15,15,1305,upper_manhattan
16,16,1816,upper_manhattan
17,17,2900,upper_manhattan
18,18,5817,upper_manhattan
19,19,5845,upper_manhattan
20,20,3842,upper_manhattan
21,21,1636,upper_manhattan
22,22,392,upper_manhattan
23,23,149,upper_manhattan
24,24,104,upper_manhattan
25,25,581,upper_manhattan
26,0,513461,lower_manhattan
27,1,731618,lower_manhattan
28,2,427740,lower_manhattan
29,3,273402,lower_manhattan
30,4,181580,lower_manhattan
31,5,111506,lower_manhattan
32,6,66937,lower_manhattan
33,7,36102,lower_manhattan
34,8,21771,lower_manhattan
35,9,17449,lower_manhattan
36,10,14671,lower_manhattan
37,11,10122,lower_manhattan
38,12,7595,lower_manhattan
39,13,6731,lower_manhattan
40,14,5328,lower_manhattan
41,15,5334,lower_manhattan
42,16,4132,lower_manhattan
43,17,5870,lower_manhattan
44,18,4420,lower_manhattan
45,19,2688,lower_manhattan
46,20,1747,lower_manhattan
47,21,1201,lower_manhattan
48,22,439,lower_manhattan
49,23,255,lower_manhattan
50,24,172,lower_manhattan
51,25,1406,lower_manhattan
52,0,19329,Downtown_Bk
53,1,25832,Downtown_Bk
54,2,18560,Downtown_Bk
55,3,15128,Downtown_Bk
56,4,10199,Downtown_Bk
57,5,6990,Downtown_Bk
58,6,5889,Downtown_Bk
59,7,4263,Downtown_Bk
60,8,2557,Downtown_Bk
61,9,1774,Downtown_Bk
62,10,1490,Downtown_Bk
63,11,927,Downtown_Bk
64,12,714,Downtown_Bk
65,13,440,Downtown_Bk
66,14,230,Downtown_Bk
67,15,198,Downtown_Bk
68,16,188,Downtown_Bk
69,17,407,Downtown_Bk
70,18,321,Downtown_Bk
71,19,149,Downtown_Bk
72,20,85,Downtown_Bk
73,21,38,Downtown_Bk
74,22,25,Downtown_Bk
75,23,7,Downtown_Bk
76,24,13,Downtown_Bk
77,25,124,Downtown_Bk
78,0,504,Bayridge_bk
79,1,636,Bayridge_bk
80,2,411,Bayridge_bk
81,3,271,Bayridge_bk
82,4,156,Bayridge_bk
83,5,142,Bayridge_bk
84,6,139,Bayridge_bk
85,7,121,Bayridge_bk
86,8,93,Bayridge_bk
87,9,88,Bayridge_bk
88,10,79,Bayridge_bk
89,11,45,Bayridge_bk
90,12,33,Bayridge_bk
91,13,28,Bayridge_bk
92,14,27,Bayridge_bk
93,15,22,Bayridge_bk
94,16,14,Bayridge_bk
95,17,9,Bayridge_bk
96,18,4,Bayridge_bk
97,19,5,Bayridge_bk
98,20,5,Bayridge_bk
99,21,3,Bayridge_bk
100,22,11,Bayridge_bk
101,23,6,Bayridge_bk
102,24,9,Bayridge_bk
103,25,5,Bayridge_bk
