pickup_datetime,zone,trip_distance,borough,count
2014-04-01,Allerton/Pelham Gardens,3.33538461538,Bronx,13
2014-04-01,Astoria,2.50367430923,Queens,1701
2014-04-01,Astoria Park,2.3,Queens,1
2014-04-01,Auburndale,9.96,Queens,1
2014-04-01,Baisley Park,5.81,Queens,4
2014-04-01,Bath Beach,1.76,Brooklyn,1
2014-04-01,Bay Ridge,3.8,Brooklyn,18
2014-04-01,Bedford,2.98219269103,Brooklyn,301
2014-04-01,Bedford Park,2.48040609137,Bronx,197
2014-04-01,Bellerose,0.105,Queens,4
2014-04-01,Belmont,2.85251748252,Bronx,143
2014-04-01,Bensonhurst East,0.66875,Brooklyn,8
2014-04-01,Bensonhurst West,4.00875,Brooklyn,8
2014-04-01,Bloomingdale,2.41015037594,Manhattan,133
2014-04-01,Boerum Hill,3.20505172414,Brooklyn,580
2014-04-01,Borough Park,2.36727272727,Brooklyn,11
2014-04-01,Briarwood/Jamaica Hills,4.70416666667,Queens,24
2014-04-01,Brighton Beach,2.22818181818,Brooklyn,22
2014-04-01,Bronx Park,4.01066666667,Bronx,15
2014-04-01,Bronxdale,2.012,Bronx,25
2014-04-01,Brooklyn Heights,3.64181972789,Brooklyn,588
2014-04-01,Brooklyn Navy Yard,3.02051282051,Brooklyn,39
2014-04-01,Brownsville,3.29133333333,Brooklyn,30
2014-04-01,Bushwick North,3.09247058824,Brooklyn,85
2014-04-01,Bushwick South,3.09233532934,Brooklyn,167
2014-04-01,Cambria Heights,0.0,Queens,1
2014-04-01,Canarsie,4.713,Brooklyn,10
2014-04-01,Carroll Gardens,3.36542713568,Brooklyn,199
2014-04-01,Central Harlem,2.16631685166,Manhattan,1982
2014-04-01,Central Harlem North,2.43986153846,Manhattan,1300
2014-04-01,Central Park,2.53474226804,Manhattan,388
2014-04-01,City Island,1.38,Bronx,1
2014-04-01,Claremont/Bathgate,1.78869565217,Bronx,115
2014-04-01,Clinton Hill,2.91629072682,Brooklyn,399
2014-04-01,Co-Op City,3.03555555556,Bronx,18
2014-04-01,Cobble Hill,3.30269230769,Brooklyn,260
2014-04-01,College Point,4.53928571429,Queens,14
2014-04-01,Columbia Street,4.32935483871,Brooklyn,31
