pickup_datetime,BoroName,trip_distance,borough,count
2015-12-01,Allerton/Pelham Gardens,111.8,Bronx,1
2015-12-01,Alphabet City,2.55989547038,Manhattan,861
2015-12-01,Astoria,2.61161825726,Queens,482
2015-12-01,Astoria Park,1.9,Queens,2
2015-12-01,Baisley Park,16.0908235294,Queens,85
2015-12-01,Bath Beach,6.5,Brooklyn,2
2015-12-01,Battery Park,4.05012987013,Manhattan,77
2015-12-01,Battery Park City,3.87260123014,Manhattan,3902
2015-12-01,Bay Ridge,4.69117647059,Brooklyn,17
2015-12-01,Bedford,2.31757009346,Brooklyn,107
2015-12-01,Bedford Park,1.52666666667,Bronx,3
2015-12-01,Bellerose,2.5,Queens,3
2015-12-01,Belmont,8.95,Bronx,2
2015-12-01,Bensonhurst East,7.6,Brooklyn,1
2015-12-01,Bensonhurst West,1.49,Brooklyn,1
2015-12-01,Bloomingdale,2.34752112676,Manhattan,1065
2015-12-01,Boerum Hill,3.40574074074,Brooklyn,324
2015-12-01,Borough Park,3.08888888889,Brooklyn,9
2015-12-01,Briarwood/Jamaica Hills,8.346875,Queens,16
2015-12-01,Brighton Beach,2.3675,Brooklyn,4
2015-12-01,Bronx Park,2.7,Bronx,2
2015-12-01,Brooklyn Heights,3.92469879518,Brooklyn,415
2015-12-01,Brooklyn Navy Yard,5.15428571429,Brooklyn,7
2015-12-01,Brownsville,4.52,Brooklyn,6
2015-12-01,Bushwick North,3.180625,Brooklyn,32
2015-12-01,Bushwick South,2.94979166667,Brooklyn,96
2015-12-01,Cambria Heights,0.1,Queens,1
2015-12-01,Canarsie,6.13833333333,Brooklyn,6
2015-12-01,Carroll Gardens,3.62,Brooklyn,214
2015-12-01,Central Harlem,2.29268115942,Manhattan,1104
2015-12-01,Central Harlem North,2.34942917548,Manhattan,473
2015-12-01,Central Park,2.01892715508,Manhattan,4791
2015-12-01,Chinatown,2.99790530846,Manhattan,697
2015-12-01,Claremont/Bathgate,6.3175,Bronx,4
2015-12-01,Clinton East,2.32771643884,Manhattan,11412
2015-12-01,Clinton Hill,2.49217054264,Brooklyn,129
2015-12-01,Clinton West,2.35512363067,Manhattan,3195
2015-12-01,Cobble Hill,4.19412556054,Brooklyn,223
2015-12-01,College Point,1.35,Queens,1
2015-12-01,Columbia Street,4.77304347826,Brooklyn,23
2015-12-01,Coney Island,12.76,Brooklyn,1
2015-12-01,Corona,5.12111111111,Queens,9
2015-12-01,Crotona Park East,0.38,Bronx,1
2015-12-01,Crown Heights North,3.37610526316,Brooklyn,95
2015-12-01,Crown Heights South,2.33818181818,Brooklyn,11
2015-12-01,Cypress Hills,9.29142857143,Brooklyn,7
2015-12-01,DUMBO/Vinegar Hill,3.80779874214,Brooklyn,159
2015-12-01,Downtown Brooklyn/MetroTech,3.83386416862,Brooklyn,427
2015-12-01,Dyker Heights,2.145,Brooklyn,2
2015-12-01,East Chelsea,2.27251626114,Manhattan,8302
2015-12-01,East Concourse/Concourse Village,3.17692307692,Bronx,13
2015-12-01,East Elmhurst,5.62919354839,Queens,62
2015-12-01,East Flatbush/Farragut,4.114,Brooklyn,10
2015-12-01,East Flatbush/Remsen Village,2.48125,Brooklyn,8
2015-12-01,East Harlem North,2.4841145281,Manhattan,943
2015-12-01,East Harlem South,2.59346622889,Manhattan,2132
2015-12-01,East New York,8.40125,Brooklyn,16
2015-12-01,East New York/Pennsylvania Avenue,5.87111111111,Brooklyn,9
2015-12-01,East Tremont,5.65,Bronx,2
2015-12-01,East Village,2.3270795055,Manhattan,8817
2015-12-01,East Williamsburg,2.82720779221,Brooklyn,154
2015-12-01,Eastchester,0.42,Bronx,1
2015-12-01,Elmhurst,3.69707317073,Queens,82
2015-12-01,Elmhurst/Maspeth,3.22548387097,Queens,31
2015-12-01,Erasmus,3.63333333333,Brooklyn,12
2015-12-01,Far Rockaway,1.7,Queens,1
2015-12-01,Financial District North,4.29700714064,Manhattan,3221
2015-12-01,Financial District South,4.48016806723,Manhattan,1547
2015-12-01,Flatbush/Ditmas Park,4.01727272727,Brooklyn,44
2015-12-01,Flatiron,2.01984133916,Manhattan,6870
2015-12-01,Flatlands,5.016,Brooklyn,5
2015-12-01,Flushing,2.19111111111,Queens,9
2015-12-01,Flushing Meadows-Corona Park,10.4618181818,Queens,22
2015-12-01,Forest Hills,5.18875,Queens,48
2015-12-01,Fort Greene,3.27387959866,Brooklyn,299
2015-12-01,Fresh Meadows,8.92333333333,Queens,3
2015-12-01,Garment District,2.09502819284,Manhattan,7094
2015-12-01,Glen Oaks,0.6,Queens,2
2015-12-01,Glendale,5.4075,Queens,4
2015-12-01,Gowanus,3.07438596491,Brooklyn,57
2015-12-01,Gramercy,2.08235104167,Manhattan,9600
2015-12-01,Gravesend,0.875,Brooklyn,2
2015-12-01,Greenpoint,2.81455555556,Brooklyn,180
2015-12-01,Greenwich Village North,2.01370943953,Manhattan,6780
2015-12-01,Greenwich Village South,2.36511035267,Manhattan,4395
2015-12-01,Hamilton Heights,3.10744927536,Manhattan,345
2015-12-01,Hammels/Arverne,14.75,Queens,2
2015-12-01,Highbridge,2.42375,Bronx,8
2015-12-01,Hillcrest/Pomonok,3.455,Queens,6
2015-12-01,Hollis,0.72,Queens,1
2015-12-01,Homecrest,2.08,Brooklyn,2
2015-12-01,Hudson Sq,2.51221834061,Manhattan,2290
2015-12-01,Hunts Point,3.3,Bronx,1
2015-12-01,Inwood,4.49833333333,Manhattan,24
2015-12-01,Inwood Hill Park,2.18,Manhattan,3
2015-12-01,JFK Airport,15.747724026,Queens,9240
2015-12-01,Jackson Heights,3.22284722222,Queens,144
2015-12-01,Jamaica,11.9474193548,Queens,31
2015-12-01,Jamaica Estates,1.89666666667,Queens,3
2015-12-01,Kensington,5.02681818182,Brooklyn,22
2015-12-01,Kew Gardens,5.5775,Queens,20
2015-12-01,Kew Gardens Hills,3.41625,Queens,8
2015-12-01,Kingsbridge Heights,2.33,Bronx,1
2015-12-01,Kips Bay,2.17868385949,Manhattan,4498
2015-12-01,LaGuardia Airport,9.85586282468,Queens,12320
2015-12-01,Laurelton,15.97,Queens,2
2015-12-01,Lenox Hill East,2.45782750949,Manhattan,7641
2015-12-01,Lenox Hill West,2.01615809031,Manhattan,8881
2015-12-01,Lincoln Square East,2.08771876094,Manhattan,11428
2015-12-01,Lincoln Square West,2.19288664633,Manhattan,4261
2015-12-01,Little Italy/NoLiTa,2.51913224286,Manhattan,3607
2015-12-01,Long Island City/Hunters Point,36.7730483271,Queens,538
2015-12-01,Long Island City/Queens Plaza,2.94581602374,Queens,337
2015-12-01,Longwood,18.8,Bronx,1
2015-12-01,Lower East Side,2.88483343074,Manhattan,3422
2015-12-01,Madison,5.205,Brooklyn,2
2015-12-01,Manhattan Beach,13.31,Brooklyn,1
2015-12-01,Manhattan Valley,2.26908940397,Manhattan,3020
2015-12-01,Manhattanville,2.72520408163,Manhattan,294
2015-12-01,Marble Hill,2.11,Manhattan,2
2015-12-01,Marine Park/Floyd Bennett Field,4.05,Brooklyn,2
2015-12-01,Marine Park/Mill Basin,1.116,Brooklyn,5
2015-12-01,Maspeth,4.11071428571,Queens,14
2015-12-01,Meatpacking/West Village West,2.35803973193,Manhattan,4178
2015-12-01,Melrose South,4.78214285714,Bronx,14
2015-12-01,Middle Village,3.38,Queens,3
2015-12-01,Midtown Center,2.35862276317,Manhattan,13803
2015-12-01,Midtown East,2.29405189189,Manhattan,13875
2015-12-01,Midtown North,2.31571069182,Manhattan,11130
2015-12-01,Midtown South,2.22070422535,Manhattan,8662
2015-12-01,Midwood,3.189,Brooklyn,10
2015-12-01,Morningside Heights,2.61428131417,Manhattan,1948
2015-12-01,Morrisania/Melrose,3.415,Bronx,4
2015-12-01,Mott Haven/Port Morris,3.09351851852,Bronx,54
2015-12-01,Mount Hope,2.74166666667,Bronx,6
2015-12-01,Murray Hill,2.19997210489,Manhattan,12547
2015-12-01,Newark Airport,3.07948717949,EWR,39
2015-12-01,North Corona,3.62789473684,Queens,19
2015-12-01,Norwood,1.85333333333,Bronx,3
2015-12-01,Oakland Gardens,4.0,Queens,3
2015-12-01,Ocean Hill,4.27666666667,Brooklyn,18
2015-12-01,Ocean Parkway South,3.8375,Brooklyn,8
2015-12-01,Old Astoria,2.76349206349,Queens,189
2015-12-01,Ozone Park,7.745,Queens,2
2015-12-01,Park Slope,2.9912039312,Brooklyn,407
2015-12-01,Parkchester,0.7,Bronx,2
2015-12-01,Penn Station/Madison Sq West,2.16326747224,Manhattan,12248
2015-12-01,Prospect Heights,3.73461538462,Brooklyn,91
2015-12-01,Prospect Park,3.66571428571,Brooklyn,7
2015-12-01,Prospect-Lefferts Gardens,3.91717391304,Brooklyn,46
2015-12-01,Queens Village,4.264,Queens,25
2015-12-01,Queensboro Hill,4.62666666667,Queens,9
2015-12-01,Queensbridge/Ravenswood,1.71992424242,Queens,132
2015-12-01,Randalls Island,6.064,Manhattan,15
2015-12-01,Red Hook,5.36904761905,Brooklyn,21
2015-12-01,Rego Park,3.4919047619,Queens,21
2015-12-01,Richmond Hill,3.51444444444,Queens,18
2015-12-01,Ridgewood,3.962,Queens,10
2015-12-01,Riverdale/North Riverdale/Fieldston,9.315,Bronx,4
2015-12-01,Roosevelt Island,3.417,Manhattan,10
2015-12-01,Saint George/New Brighton,22.49,Staten Island,1
2015-12-01,Saint Michaels Cemetery/Woodside,0.58,Queens,30
2015-12-01,Schuylerville/Edgewater Park,2.8,Bronx,1
2015-12-01,Seaport,3.60695439739,Manhattan,614
2015-12-01,Sheepshead Bay,2.0,Brooklyn,1
2015-12-01,SoHo,2.48667884424,Manhattan,3011
2015-12-01,Soundview/Bruckner,2.4,Bronx,3
2015-12-01,Soundview/Castle Hill,2.41,Bronx,3
2015-12-01,South Jamaica,13.6655555556,Queens,18
2015-12-01,South Ozone Park,13.053,Queens,20
2015-12-01,South Williamsburg,2.57872340426,Brooklyn,47
2015-12-01,Springfield Gardens South,16.6904545455,Queens,22
2015-12-01,Spuyten Duyvil/Kingsbridge,3.6925,Bronx,4
2015-12-01,Stapleton,0.9,Staten Island,3
2015-12-01,Steinway,3.93850828729,Queens,181
2015-12-01,Stuy Town/Peter Cooper Village,2.25236727589,Manhattan,1149
2015-12-01,Stuyvesant Heights,2.82781818182,Brooklyn,55
2015-12-01,Sunnyside,3.15840996169,Queens,522
2015-12-01,Sunset Park East,5.5,Brooklyn,2
2015-12-01,Sunset Park West,3.37617647059,Brooklyn,34
2015-12-01,Sutton Place/Turtle Bay North,2.11124534033,Manhattan,7243
2015-12-01,Times Sq/Theatre District,2.63249768161,Manhattan,12940
2015-12-01,TriBeCa/Civic Center,2.96582056591,Manhattan,7245
2015-12-01,Two Bridges/Seward Park,3.18337057728,Manhattan,537
2015-12-01,UN/Turtle Bay South,2.37031902773,Manhattan,5266
2015-12-01,Union Sq,2.07536491579,Manhattan,13003
2015-12-01,University Heights/Morris Heights,2.31107142857,Bronx,28
2015-12-01,Upper East Side North,1.89529116598,Manhattan,15146
2015-12-01,Upper East Side South,1.74089235645,Manhattan,16406
2015-12-01,Upper West Side North,2.17352478255,Manhattan,7243
2015-12-01,Upper West Side South,2.0916826191,Manhattan,9194
2015-12-01,Van Cortlandt Village,4.585,Bronx,2
2015-12-01,Van Nest/Morris Park,1.93,Bronx,2
2015-12-01,Washington Heights North,4.2355,Manhattan,40
2015-12-01,Washington Heights South,3.83194357367,Manhattan,319
2015-12-01,West Chelsea/Hudson Yards,2.32108568075,Manhattan,5112
2015-12-01,West Concourse,3.71137931034,Bronx,29
2015-12-01,West Farms/Bronx River,6.65,Bronx,1
2015-12-01,West Village,2.24617287587,Manhattan,6791
2015-12-01,Westchester Village/Unionport,9.52166666667,Bronx,6
2015-12-01,Whitestone,7.645,Queens,4
2015-12-01,Williamsbridge/Olinville,0.6,Bronx,1
2015-12-01,Williamsburg (North Side),2.92545861298,Brooklyn,447
2015-12-01,Williamsburg (South Side),2.76472560976,Brooklyn,328
2015-12-01,Windsor Terrace,2.26411764706,Brooklyn,17
2015-12-01,Woodhaven,3.91333333333,Queens,6
2015-12-01,Woodlawn/Wakefield,0.4,Bronx,2
2015-12-01,Woodside,3.79320441989,Queens,181
2015-12-01,World Trade Center,3.99100562149,Manhattan,1601
2015-12-01,Yorkville East,2.42128742515,Manhattan,4676
2015-12-01,Yorkville West,2.27569217687,Manhattan,5880
2015-12-02,Alphabet City,2.75491099476,Manhattan,955
2015-12-02,Arrochar/Fort Wadsworth,0.0,Staten Island,1
2015-12-02,Astoria,2.72920454545,Queens,440
2015-12-02,Astoria Park,11.06,Queens,3
2015-12-02,Baisley Park,15.9692307692,Queens,52
2015-12-02,Battery Park,4.54808219178,Manhattan,73
2015-12-02,Battery Park City,4.0941609252,Manhattan,4064
2015-12-02,Bay Ridge,6.591,Brooklyn,10
2015-12-02,Bay Terrace/Fort Totten,0.0,Queens,1
2015-12-02,Bedford,2.18571428571,Brooklyn,119
2015-12-02,Bedford Park,3.285,Bronx,2
2015-12-02,Belmont,9.885,Bronx,2
2015-12-02,Bensonhurst East,0.0,Brooklyn,1
2015-12-02,Bensonhurst West,9.8725,Brooklyn,4
2015-12-02,Bloomingdale,2.40941514861,Manhattan,1043
2015-12-02,Boerum Hill,3.52193236715,Brooklyn,414
2015-12-02,Borough Park,4.1675,Brooklyn,8
2015-12-02,Briarwood/Jamaica Hills,6.99903225806,Queens,31
2015-12-02,Brighton Beach,0.0,Brooklyn,1
2015-12-02,Bronxdale,6.73,Bronx,1
2015-12-02,Brooklyn Heights,3.89014669927,Brooklyn,409
2015-12-02,Brooklyn Navy Yard,2.45727272727,Brooklyn,11
2015-12-02,Brownsville,7.42142857143,Brooklyn,7
2015-12-02,Bushwick North,2.83512195122,Brooklyn,41
2015-12-02,Bushwick South,2.86120967742,Brooklyn,124
2015-12-02,Canarsie,12.32,Brooklyn,3
2015-12-02,Carroll Gardens,3.77516981132,Brooklyn,265
2015-12-02,Central Harlem,2.25735326689,Manhattan,903
2015-12-02,Central Harlem North,2.34880841121,Manhattan,428
2015-12-02,Central Park,2.03639159627,Manhattan,4617
2015-12-02,Charleston/Tottenville,0.0,Staten Island,2
2015-12-02,Chinatown,2.80968503937,Manhattan,762
2015-12-02,Claremont/Bathgate,0.385,Bronx,2
2015-12-02,Clinton East,2.42426228143,Manhattan,12010
2015-12-02,Clinton Hill,2.76235714286,Brooklyn,140
2015-12-02,Clinton West,2.36056929955,Manhattan,3355
2015-12-02,Cobble Hill,3.68272340426,Brooklyn,235
2015-12-02,Columbia Street,4.02434782609,Brooklyn,23
2015-12-02,Coney Island,0.0,Brooklyn,1
2015-12-02,Corona,7.188,Queens,10
2015-12-02,Crotona Park,3.17,Bronx,1
2015-12-02,Crotona Park East,1.32666666667,Bronx,3
2015-12-02,Crown Heights North,2.59518518519,Brooklyn,81
2015-12-02,Crown Heights South,2.93277777778,Brooklyn,18
2015-12-02,Cypress Hills,2.59777777778,Brooklyn,9
2015-12-02,DUMBO/Vinegar Hill,3.804,Brooklyn,145
2015-12-02,Douglaston,2.63,Queens,2
2015-12-02,Downtown Brooklyn/MetroTech,3.79514344262,Brooklyn,488
2015-12-02,Dyker Heights,1.3,Brooklyn,1
2015-12-02,East Chelsea,2.20547754034,Manhattan,9172
2015-12-02,East Concourse/Concourse Village,4.251,Bronx,10
2015-12-02,East Elmhurst,6.9230952381,Queens,42
2015-12-02,East Flatbush/Farragut,2.33333333333,Brooklyn,6
2015-12-02,East Flatbush/Remsen Village,3.2,Brooklyn,11
2015-12-02,East Harlem North,2.50350446429,Manhattan,896
