pickup_datetime,BoroName,trip_distance,borough,count
2014-07-01,Allerton/Pelham Gardens,0.6,Bronx,1
2014-07-01,Alphabet City,2.86057142857,Manhattan,1260
2014-07-01,Arrochar/Fort Wadsworth,9.79,Staten Island,2
2014-07-01,Astoria,3.14670316302,Queens,822
2014-07-01,Astoria Park,3.005,Queens,8
2014-07-01,Auburndale,11.5,Queens,1
2014-07-01,Baisley Park,14.3162745098,Queens,51
2014-07-01,Bath Beach,8.40666666667,Brooklyn,3
2014-07-01,Battery Park,4.21606796117,Manhattan,206
2014-07-01,Battery Park City,4.06281628696,Manhattan,4126
2014-07-01,Bay Ridge,5.33833333333,Brooklyn,18
2014-07-01,Bay Terrace/Fort Totten,12.18,Queens,1
2014-07-01,Bayside,5.82666666667,Queens,3
2014-07-01,Bedford,3.06112676056,Brooklyn,142
2014-07-01,Bedford Park,1.25,Bronx,2
2014-07-01,Bellerose,2.678,Queens,5
2014-07-01,Belmont,3.95,Bronx,4
2014-07-01,Bensonhurst East,4.835,Brooklyn,2
2014-07-01,Bensonhurst West,0.05,Brooklyn,1
2014-07-01,Bloomingdale,2.79992805755,Manhattan,1112
2014-07-01,Boerum Hill,3.72037950664,Brooklyn,527
2014-07-01,Borough Park,4.81615384615,Brooklyn,13
2014-07-01,Briarwood/Jamaica Hills,6.19863636364,Queens,22
2014-07-01,Brighton Beach,6.35,Brooklyn,3
2014-07-01,Brooklyn Heights,3.92572674419,Brooklyn,688
2014-07-01,Brooklyn Navy Yard,3.39466666667,Brooklyn,15
2014-07-01,Brownsville,5.0,Brooklyn,3
2014-07-01,Bushwick North,3.79314285714,Brooklyn,70
2014-07-01,Bushwick South,3.30669064748,Brooklyn,139
2014-07-01,Cambria Heights,13.5616,Queens,25
2014-07-01,Canarsie,4.4,Brooklyn,2
2014-07-01,Carroll Gardens,4.18933884298,Brooklyn,363
2014-07-01,Central Harlem,2.80491927825,Manhattan,1053
2014-07-01,Central Harlem North,3.27144638404,Manhattan,401
2014-07-01,Central Park,2.19451495621,Manhattan,6051
2014-07-01,Chinatown,2.85533769063,Manhattan,918
2014-07-01,Claremont/Bathgate,0.62,Bronx,2
2014-07-01,Clinton East,2.40012285365,Manhattan,13919
2014-07-01,Clinton Hill,2.90879069767,Brooklyn,215
2014-07-01,Clinton West,2.47182713838,Manhattan,4466
2014-07-01,Co-Op City,0.0,Bronx,1
2014-07-01,Cobble Hill,4.1018597561,Brooklyn,328
2014-07-01,College Point,4.1,Queens,5
2014-07-01,Columbia Street,3.76590909091,Brooklyn,44
2014-07-01,Coney Island,1.515,Brooklyn,2
2014-07-01,Corona,5.38357142857,Queens,14
2014-07-01,Crotona Park,2.1,Bronx,1
2014-07-01,Crotona Park East,0.7,Bronx,1
2014-07-01,Crown Heights North,3.56223602484,Brooklyn,161
2014-07-01,Crown Heights South,3.74625,Brooklyn,24
2014-07-01,Cypress Hills,4.96666666667,Brooklyn,3
2014-07-01,DUMBO/Vinegar Hill,4.19268786127,Brooklyn,346
2014-07-01,Downtown Brooklyn/MetroTech,3.97517301038,Brooklyn,578
2014-07-01,Dyker Heights,5.2525,Brooklyn,4
2014-07-01,East Chelsea,2.4001401128,Manhattan,11348
2014-07-01,East Concourse/Concourse Village,2.13272727273,Bronx,11
2014-07-01,East Elmhurst,6.67854166667,Queens,96
2014-07-01,East Flatbush/Remsen Village,2.3,Brooklyn,2
2014-07-01,East Flushing,10.9,Queens,1
2014-07-01,East Harlem North,2.78057605761,Manhattan,1111
2014-07-01,East Harlem South,2.5652183701,Manhattan,2221
2014-07-01,East New York,5.61222222222,Brooklyn,9
2014-07-01,East New York/Pennsylvania Avenue,3.12666666667,Brooklyn,3
2014-07-01,East Tremont,1.394,Bronx,5
2014-07-01,East Village,2.56552677172,Manhattan,12121
2014-07-01,East Williamsburg,3.33474226804,Brooklyn,388
2014-07-01,Elmhurst,4.09830357143,Queens,112
2014-07-01,Elmhurst/Maspeth,2.93340425532,Queens,47
2014-07-01,Erasmus,7.06166666667,Brooklyn,6
2014-07-01,Far Rockaway,8.5,Queens,1
2014-07-01,Financial District North,4.43260800424,Manhattan,3773
2014-07-01,Financial District South,4.67769736842,Manhattan,1824
2014-07-01,Flatbush/Ditmas Park,5.1662745098,Brooklyn,51
2014-07-01,Flatiron,2.12253152622,Manhattan,8485
2014-07-01,Flatlands,4.555,Brooklyn,8
2014-07-01,Flushing,1.88428571429,Queens,42
2014-07-01,Flushing Meadows-Corona Park,9.43652173913,Queens,23
2014-07-01,Fordham South,2.6,Bronx,5
2014-07-01,Forest Hills,5.36397435897,Queens,78
2014-07-01,Forest Park/Highland Park,9.45,Queens,2
2014-07-01,Fort Greene,3.73214611872,Brooklyn,438
2014-07-01,Fresh Meadows,7.695,Queens,2
2014-07-01,Garment District,2.1934271012,Manhattan,8745
2014-07-01,Glen Oaks,10.7,Queens,1
2014-07-01,Glendale,2.97,Queens,6
2014-07-01,Governor's Island/Ellis Island/Liberty Island,4.7,Manhattan,1
2014-07-01,Gowanus,3.3346,Brooklyn,150
2014-07-01,Gramercy,2.17933525521,Manhattan,11794
2014-07-01,Gravesend,17.305,Brooklyn,2
2014-07-01,Greenpoint,3.24215584416,Brooklyn,385
2014-07-01,Greenwich Village North,2.15655014618,Manhattan,7867
2014-07-01,Greenwich Village South,2.47960517799,Manhattan,6180
2014-07-01,Grymes Hill/Clifton,5.54,Staten Island,1
2014-07-01,Hamilton Heights,3.88994475138,Manhattan,362
2014-07-01,Hammels/Arverne,2.22,Queens,1
2014-07-01,Highbridge,4.22611111111,Bronx,18
2014-07-01,Highbridge Park,8.4,Manhattan,1
2014-07-01,Hillcrest/Pomonok,2.54333333333,Queens,3
2014-07-01,Hollis,5.6,Queens,1
2014-07-01,Homecrest,1.525,Brooklyn,4
2014-07-01,Howard Beach,0.0,Queens,1
2014-07-01,Hudson Sq,2.65830937714,Manhattan,2922
2014-07-01,Hunts Point,17.54,Bronx,4
2014-07-01,Inwood,3.74916666667,Manhattan,24
2014-07-01,JFK Airport,15.5745715452,Queens,7352
2014-07-01,Jackson Heights,3.02413978495,Queens,186
2014-07-01,Jamaica,10.4693877551,Queens,49
2014-07-01,Jamaica Estates,5.47,Queens,1
2014-07-01,Kensington,4.4845,Brooklyn,20
2014-07-01,Kew Gardens,3.90590909091,Queens,22
2014-07-01,Kew Gardens Hills,2.38833333333,Queens,6
2014-07-01,Kingsbridge Heights,0.4,Bronx,1
2014-07-01,Kips Bay,2.29843767949,Manhattan,5223
2014-07-01,LaGuardia Airport,9.67248994942,Queens,7711
2014-07-01,Laurelton,8.83333333333,Queens,3
2014-07-01,Lenox Hill East,2.57539777046,Manhattan,7894
2014-07-01,Lenox Hill West,2.16284468398,Manhattan,10205
2014-07-01,Lincoln Square East,2.20007028024,Manhattan,11383
2014-07-01,Lincoln Square West,2.30549174611,Manhattan,4301
2014-07-01,Little Italy/NoLiTa,2.67817271835,Manhattan,5095
2014-07-01,Long Island City/Hunters Point,3.09125377644,Queens,662
2014-07-01,Long Island City/Queens Plaza,3.21571129707,Queens,478
2014-07-01,Longwood,3.9,Bronx,1
2014-07-01,Lower East Side,3.02342065051,Manhattan,4581
2014-07-01,Manhattan Beach,2.82,Brooklyn,1
2014-07-01,Manhattan Valley,2.66261278806,Manhattan,3081
2014-07-01,Manhattanville,3.11253164557,Manhattan,316
2014-07-01,Marble Hill,2.968,Manhattan,5
2014-07-01,Marine Park/Mill Basin,1.505,Brooklyn,2
2014-07-01,Mariners Harbor,13.67,Staten Island,1
2014-07-01,Maspeth,5.54454545455,Queens,22
2014-07-01,Meatpacking/West Village West,2.52140350877,Manhattan,5643
2014-07-01,Melrose South,4.4375,Bronx,8
2014-07-01,Middle Village,7.257,Queens,10
2014-07-01,Midtown Center,2.22973718577,Manhattan,18378
2014-07-01,Midtown East,2.35748480414,Manhattan,17768
2014-07-01,Midtown North,2.31975560556,Manhattan,12889
2014-07-01,Midtown South,2.26050316678,Manhattan,11368
2014-07-01,Midwood,3.00571428571,Brooklyn,7
2014-07-01,Morningside Heights,2.99661045531,Manhattan,1779
2014-07-01,Morrisania/Melrose,1.68,Bronx,6
2014-07-01,Mott Haven/Port Morris,2.51630769231,Bronx,65
2014-07-01,Mount Hope,6.18,Bronx,4
2014-07-01,Murray Hill,2.19904308617,Manhattan,15968
2014-07-01,Murray Hill-Queens,0.954285714286,Queens,7
2014-07-01,Newark Airport,2.70714285714,EWR,35
2014-07-01,North Corona,3.77285714286,Queens,7
2014-07-01,Norwood,1.495,Bronx,2
2014-07-01,Ocean Hill,2.60545454545,Brooklyn,11
2014-07-01,Ocean Parkway South,6.36333333333,Brooklyn,15
2014-07-01,Old Astoria,3.1998540146,Queens,274
2014-07-01,Ozone Park,10.0125,Queens,4
2014-07-01,Park Slope,3.33355886333,Brooklyn,739
2014-07-01,Parkchester,9.0,Bronx,1
2014-07-01,Pelham Bay,6.76,Bronx,3
2014-07-01,Pelham Parkway,0.6,Bronx,2
2014-07-01,Penn Station/Madison Sq West,2.235815987,Manhattan,12923
2014-07-01,Prospect Heights,3.45180555556,Brooklyn,144
2014-07-01,Prospect Park,3.315,Brooklyn,28
2014-07-01,Prospect-Lefferts Gardens,4.323,Brooklyn,60
2014-07-01,Queens Village,14.2366666667,Queens,3
2014-07-01,Queensboro Hill,4.94,Queens,6
2014-07-01,Queensbridge/Ravenswood,2.9769047619,Queens,126
2014-07-01,Randalls Island,5.65875,Manhattan,24
2014-07-01,Red Hook,7.26652920962,Brooklyn,291
2014-07-01,Rego Park,6.09743589744,Queens,39
2014-07-01,Richmond Hill,2.19615384615,Queens,13
2014-07-01,Ridgewood,4.0025,Queens,8
2014-07-01,Riverdale/North Riverdale/Fieldston,2.98,Bronx,2
2014-07-01,Roosevelt Island,4.25,Manhattan,36
2014-07-01,Saint Albans,2.5,Queens,1
2014-07-01,Saint Michaels Cemetery/Woodside,0.475079365079,Queens,63
2014-07-01,Seaport,3.97625,Manhattan,928
2014-07-01,Sheepshead Bay,0.6,Brooklyn,2
2014-07-01,SoHo,2.49343579574,Manhattan,4034
2014-07-01,Soundview/Bruckner,11.05,Bronx,2
2014-07-01,Soundview/Castle Hill,0.0,Bronx,1
2014-07-01,South Jamaica,12.1611764706,Queens,17
2014-07-01,South Ozone Park,11.7408695652,Queens,23
2014-07-01,South Williamsburg,2.96857142857,Brooklyn,42
2014-07-01,Springfield Gardens North,8.6,Queens,1
2014-07-01,Springfield Gardens South,16.4581481481,Queens,27
2014-07-01,Spuyten Duyvil/Kingsbridge,6.33,Bronx,2
2014-07-01,Steinway,3.46067757009,Queens,428
2014-07-01,Stuy Town/Peter Cooper Village,2.6453671072,Manhattan,1362
2014-07-01,Stuyvesant Heights,2.83214285714,Brooklyn,42
2014-07-01,Sunnyside,3.39753548387,Queens,775
2014-07-01,Sunset Park East,5.2975,Brooklyn,8
2014-07-01,Sunset Park West,5.14477272727,Brooklyn,44
2014-07-01,Sutton Place/Turtle Bay North,2.23320063358,Manhattan,9470
2014-07-01,Times Sq/Theatre District,2.71943484887,Manhattan,15748
2014-07-01,TriBeCa/Civic Center,3.08605000548,Manhattan,9119
2014-07-01,Two Bridges/Seward Park,3.33078666667,Manhattan,750
2014-07-01,UN/Turtle Bay South,2.39605394883,Manhattan,7192
2014-07-01,Union Sq,2.13599502963,Manhattan,15693
2014-07-01,University Heights/Morris Heights,3.61333333333,Bronx,3
2014-07-01,Upper East Side North,2.07176536548,Manhattan,14269
2014-07-01,Upper East Side South,1.86100652323,Manhattan,17476
2014-07-01,Upper West Side North,2.45018092567,Manhattan,7130
2014-07-01,Upper West Side South,2.3532724835,Manhattan,9696
2014-07-01,Van Nest/Morris Park,4.5575,Bronx,4
2014-07-01,Washington Heights North,4.53698795181,Manhattan,83
2014-07-01,Washington Heights South,4.47144092219,Manhattan,347
2014-07-01,West Chelsea/Hudson Yards,2.64459813589,Manhattan,7403
2014-07-01,West Concourse,4.05909090909,Bronx,44
2014-07-01,West Farms/Bronx River,2.98,Bronx,2
2014-07-01,West Village,2.34051708734,Manhattan,8954
2014-07-01,Westchester Village/Unionport,5.24142857143,Bronx,7
2014-07-01,Whitestone,1.23666666667,Queens,6
2014-07-01,Williamsbridge/Olinville,1.65714285714,Bronx,14
2014-07-01,Williamsburg (North Side),3.29547126437,Brooklyn,870
2014-07-01,Williamsburg (South Side),3.3718767507,Brooklyn,714
2014-07-01,Windsor Terrace,6.5755,Brooklyn,20
2014-07-01,Woodhaven,2.85933333333,Queens,30
2014-07-01,Woodlawn/Wakefield,6.035,Bronx,2
2014-07-01,Woodside,3.50805668016,Queens,247
2014-07-01,World Trade Center,4.13265840877,Manhattan,2099
2014-07-01,Yorkville East,2.63726120858,Manhattan,5130
2014-07-01,Yorkville West,2.5076528627,Manhattan,7196
2014-07-02,Alphabet City,2.94333589547,Manhattan,1301
2014-07-02,Astoria,3.10501096491,Queens,912
2014-07-02,Astoria Park,2.97416666667,Queens,12
2014-07-02,Auburndale,4.21,Queens,3
2014-07-02,Baisley Park,13.7020338983,Queens,59
2014-07-02,Battery Park,4.59077253219,Manhattan,233
2014-07-02,Battery Park City,4.07136116601,Manhattan,4048
2014-07-02,Bay Ridge,3.7364,Brooklyn,25
2014-07-02,Bayside,16.05,Queens,2
2014-07-02,Bedford,3.18530973451,Brooklyn,226
2014-07-02,Bedford Park,1.238,Bronx,5
2014-07-02,Bellerose,5.34166666667,Queens,6
2014-07-02,Belmont,1.9,Bronx,1
2014-07-02,Bensonhurst East,1.56,Brooklyn,5
2014-07-02,Bensonhurst West,3.6825,Brooklyn,8
2014-07-02,Bloomfield/Emerson Hill,1.12,Staten Island,2
2014-07-02,Bloomingdale,2.65630744849,Manhattan,1262
2014-07-02,Boerum Hill,3.48532738095,Brooklyn,672
2014-07-02,Borough Park,4.23785714286,Brooklyn,14
2014-07-02,Briarwood/Jamaica Hills,8.3628125,Queens,32
2014-07-02,Brighton Beach,0.0,Brooklyn,1
2014-07-02,Bronxdale,10.73,Bronx,2
2014-07-02,Brooklyn Heights,4.27200274348,Brooklyn,729
2014-07-02,Brooklyn Navy Yard,3.24307692308,Brooklyn,26
2014-07-02,Brownsville,2.91666666667,Brooklyn,3
2014-07-02,Bushwick North,2.66733944954,Brooklyn,109
2014-07-02,Bushwick South,2.96538461538,Brooklyn,208
2014-07-02,Cambria Heights,8.1175,Queens,4
2014-07-02,Canarsie,5.285,Brooklyn,2
2014-07-02,Carroll Gardens,3.79013953488,Brooklyn,430
2014-07-02,Central Harlem,2.62597744361,Manhattan,1330
2014-07-02,Central Harlem North,2.80553299492,Manhattan,591
2014-07-02,Central Park,2.18137345394,Manhattan,5417
2014-07-02,Chinatown,3.00805019305,Manhattan,1036
2014-07-02,Claremont/Bathgate,3.9925,Bronx,4
2014-07-02,Clinton East,2.4315800189,Manhattan,13753
2014-07-02,Clinton Hill,3.05135458167,Brooklyn,251
2014-07-02,Clinton West,2.4469897722,Manhattan,4302
2014-07-02,Co-Op City,3.06666666667,Bronx,3
2014-07-02,Cobble Hill,4.16129577465,Brooklyn,355
2014-07-02,College Point,2.96666666667,Queens,3
2014-07-02,Columbia Street,4.15784313725,Brooklyn,51
2014-07-02,Coney Island,7.19333333333,Brooklyn,3
2014-07-02,Corona,6.56333333333,Queens,12
2014-07-02,Crotona Park East,3.9,Bronx,1
2014-07-02,Crown Heights North,4.21572192513,Brooklyn,187
2014-07-02,Crown Heights South,3.57605263158,Brooklyn,38
2014-07-02,Cypress Hills,6.398,Brooklyn,5
2014-07-02,DUMBO/Vinegar Hill,3.94581538462,Brooklyn,325
2014-07-02,Downtown Brooklyn/MetroTech,4.09424679487,Brooklyn,624
2014-07-02,Dyker Heights,3.974,Brooklyn,5
2014-07-02,East Chelsea,2.38396515931,Manhattan,11079
2014-07-02,East Concourse/Concourse Village,4.54083333333,Bronx,12
2014-07-02,East Elmhurst,7.82186666667,Queens,75
2014-07-02,East Flatbush/Farragut,4.13,Brooklyn,15
2014-07-02,East Flatbush/Remsen Village,2.446,Brooklyn,5
2014-07-02,East Flushing,0.52,Queens,4
2014-07-02,East Harlem North,2.63027468448,Manhattan,1347
2014-07-02,East Harlem South,2.60098586017,Manhattan,2546
2014-07-02,East New York,6.75,Brooklyn,2
2014-07-02,East New York/Pennsylvania Avenue,1.99,Brooklyn,1
2014-07-02,East Tremont,0.2,Bronx,1
2014-07-02,East Village,2.53818160209,Manhattan,12621
2014-07-02,East Williamsburg,3.16188405797,Brooklyn,414
2014-07-02,Elmhurst,3.03479166667,Queens,96
2014-07-02,Elmhurst/Maspeth,2.803,Queens,60
2014-07-02,Erasmus,2.57888888889,Brooklyn,9
2014-07-02,Financial District North,4.58587000874,Manhattan,3431
2014-07-02,Financial District South,4.773569268,Manhattan,1653
2014-07-02,Flatbush/Ditmas Park,4.58573770492,Brooklyn,61
2014-07-02,Flatiron,2.13760086455,Manhattan,8328
2014-07-02,Flatlands,8.172,Brooklyn,5
2014-07-02,Flushing,3.5475,Queens,36
2014-07-02,Flushing Meadows-Corona Park,8.6964,Queens,25
2014-07-02,Fordham South,1.525,Bronx,2
2014-07-02,Forest Hills,4.3078,Queens,100
2014-07-02,Forest Park/Highland Park,2.32,Queens,1
2014-07-02,Fort Greene,3.20972709552,Brooklyn,513
2014-07-02,Fresh Meadows,6.0,Queens,1
2014-07-02,Garment District,2.25783780517,Manhattan,8274
2014-07-02,Glen Oaks,2.65666666667,Queens,3
2014-07-02,Glendale,3.318,Queens,5
2014-07-02,Gowanus,3.71941605839,Brooklyn,137
2014-07-02,Gramercy,2.19245478261,Manhattan,11500
2014-07-02,Greenpoint,2.82182952183,Brooklyn,481
2014-07-02,Greenwich Village North,2.18764705882,Manhattan,7786
2014-07-02,Greenwich Village South,2.4509115192,Manhattan,5990
2014-07-02,Hamilton Heights,3.6809978308,Manhattan,461
2014-07-02,Heartland Village/Todt Hill,2.0,Staten Island,1
2014-07-02,Highbridge,5.28923076923,Bronx,13
2014-07-02,Highbridge Park,5.69,Manhattan,6
2014-07-02,Hillcrest/Pomonok,12.27,Queens,1
2014-07-02,Hollis,0.21,Queens,1
2014-07-02,Homecrest,3.5,Brooklyn,1
2014-07-02,Howard Beach,6.35166666667,Queens,6
2014-07-02,Hudson Sq,2.70748677249,Manhattan,2646
2014-07-02,Hunts Point,2.4925,Bronx,4
2014-07-02,Inwood,3.25159090909,Manhattan,44
2014-07-02,Inwood Hill Park,5.518,Manhattan,5
2014-07-02,JFK Airport,15.3630073167,Queens,6697
2014-07-02,Jackson Heights,3.00633928571,Queens,224
2014-07-02,Jamaica,8.10766666667,Queens,30
2014-07-02,Kensington,6.53652173913,Brooklyn,23
2014-07-02,Kew Gardens,4.97103448276,Queens,29
2014-07-02,Kew Gardens Hills,6.97916666667,Queens,12
2014-07-02,Kingsbridge Heights,7.49333333333,Bronx,3
2014-07-02,Kips Bay,2.29501324386,Manhattan,5663
2014-07-02,LaGuardia Airport,9.43713512744,Queens,7023
2014-07-02,Lenox Hill East,2.60986174575,Manhattan,8535
2014-07-02,Lenox Hill West,2.13202756452,Manhattan,10811
2014-07-02,Lincoln Square East,2.16643584682,Manhattan,12665
2014-07-02,Lincoln Square West,2.26448764769,Manhattan,4655
2014-07-02,Little Italy/NoLiTa,2.67291116447,Manhattan,4998
2014-07-02,Long Island City/Hunters Point,3.22819444444,Queens,648
2014-07-02,Long Island City/Queens Plaza,3.16451403888,Queens,463
2014-07-02,Longwood,1.7,Bronx,2
2014-07-02,Lower East Side,2.95715664439,Manhattan,5388
2014-07-02,Madison,6.05666666667,Brooklyn,3
2014-07-02,Manhattan Valley,2.58534276053,Manhattan,3253
2014-07-02,Manhattanville,3.26758293839,Manhattan,422
2014-07-02,Marble Hill,2.62333333333,Manhattan,3
2014-07-02,Marine Park/Floyd Bennett Field,0.4,Brooklyn,1
2014-07-02,Marine Park/Mill Basin,10.3333333333,Brooklyn,3
2014-07-02,Mariners Harbor,21.24,Staten Island,1
2014-07-02,Maspeth,4.21727272727,Queens,22
2014-07-02,Meatpacking/West Village West,2.57735340177,Manhattan,5747
2014-07-02,Melrose South,3.93533333333,Bronx,15
2014-07-02,Middle Village,6.88,Queens,5
2014-07-02,Midtown Center,2.43553192797,Manhattan,16271
2014-07-02,Midtown East,2.3761808002,Manhattan,15896
2014-07-02,Midtown North,2.37236820013,Manhattan,11912
2014-07-02,Midtown South,2.37236972705,Manhattan,10478
2014-07-02,Midwood,2.925,Brooklyn,8
2014-07-02,Morningside Heights,2.77911621741,Manhattan,2263
2014-07-02,Morrisania/Melrose,3.287,Bronx,10
2014-07-02,Mott Haven/Port Morris,3.14816901408,Bronx,71
2014-07-02,Mount Hope,4.12,Bronx,7
2014-07-02,Murray Hill,2.26927621075,Manhattan,15032
2014-07-02,Murray Hill-Queens,0.05,Queens,1
2014-07-02,Newark Airport,3.05653846154,EWR,26
2014-07-02,North Corona,1.1,Queens,6
2014-07-02,Norwood,4.02222222222,Bronx,9
2014-07-02,Ocean Hill,9.18,Brooklyn,8
2014-07-02,Ocean Parkway South,1.90583333333,Brooklyn,12
2014-07-02,Old Astoria,3.28482866044,Queens,321
2014-07-02,Ozone Park,9.412,Queens,5
2014-07-02,Park Slope,3.4315916955,Brooklyn,867
2014-07-02,Parkchester,3.695,Bronx,4
2014-07-02,Pelham Bay,2.82,Bronx,1
2014-07-02,Penn Station/Madison Sq West,2.28395925272,Manhattan,13596
2014-07-02,Port Richmond,0.0,Staten Island,1
2014-07-02,Prospect Heights,2.82245614035,Brooklyn,228
2014-07-02,Prospect Park,3.93375,Brooklyn,24
2014-07-02,Prospect-Lefferts Gardens,3.221,Brooklyn,70
2014-07-02,Queens Village,2.18,Queens,2
2014-07-02,Queensboro Hill,4.67,Queens,6
2014-07-02,Queensbridge/Ravenswood,3.21,Queens,140
2014-07-02,Randalls Island,6.75333333333,Manhattan,18
2014-07-02,Red Hook,5.03542857143,Brooklyn,35
2014-07-02,Rego Park,4.23796610169,Queens,59
2014-07-02,Richmond Hill,4.46538461538,Queens,13
2014-07-02,Ridgewood,3.56263157895,Queens,19
2014-07-02,Riverdale/North Riverdale/Fieldston,7.465,Bronx,2
2014-07-02,Roosevelt Island,3.05333333333,Manhattan,60
2014-07-02,Rosedale,1.3375,Queens,4
2014-07-02,Saint Albans,15.02,Queens,1
2014-07-02,Saint Michaels Cemetery/Woodside,0.627790697674,Queens,86
2014-07-02,Seaport,3.98621419676,Manhattan,803
2014-07-02,Sheepshead Bay,2.586,Brooklyn,5
2014-07-02,SoHo,2.59334406871,Manhattan,3726
2014-07-02,Soundview/Bruckner,3.00166666667,Bronx,6
2014-07-02,Soundview/Castle Hill,0.8,Bronx,2
2014-07-02,South Jamaica,13.7733333333,Queens,15
2014-07-02,South Ozone Park,7.71714285714,Queens,28
2014-07-02,South Williamsburg,3.005,Brooklyn,46
2014-07-02,Springfield Gardens North,0.1,Queens,1
2014-07-02,Springfield Gardens South,19.431,Queens,10
2014-07-02,Spuyten Duyvil/Kingsbridge,1.9,Bronx,5
2014-07-02,Steinway,3.02783783784,Queens,444
2014-07-02,Stuy Town/Peter Cooper Village,2.70777298851,Manhattan,1392
2014-07-02,Stuyvesant Heights,3.10797619048,Brooklyn,84
2014-07-02,Sunnyside,3.46625661376,Queens,756
2014-07-02,Sunset Park East,6.63666666667,Brooklyn,9
2014-07-02,Sunset Park West,3.58611111111,Brooklyn,72
2014-07-02,Sutton Place/Turtle Bay North,2.2432059107,Manhattan,9339
2014-07-02,Times Sq/Theatre District,2.76810104412,Manhattan,14845
2014-07-02,TriBeCa/Civic Center,3.14653988757,Manhattan,8361
2014-07-02,Two Bridges/Seward Park,3.26586585366,Manhattan,820
2014-07-02,UN/Turtle Bay South,2.53677316294,Manhattan,6886
