pickup_datetime,zone,trip_distance,borough,count
2014-02-01,Allerton/Pelham Gardens,4.64571428571,Bronx,7
2014-02-01,Astoria,3.03693458743,Queens,2339
2014-02-01,Astoria Park,4.655,Queens,2
2014-02-01,Auburndale,1.66333333333,Queens,3
2014-02-01,Baisley Park,0.515,Queens,6
2014-02-01,Bath Beach,0.0,Brooklyn,2
2014-02-01,Bay Ridge,5.98090909091,Brooklyn,11
2014-02-01,Bayside,2.402,Queens,5
2014-02-01,Bedford,2.9787704918,Brooklyn,366
2014-02-01,Bedford Park,2.60303030303,Bronx,198
2014-02-01,Bellerose,10.6,Queens,1
2014-02-01,Belmont,3.34128787879,Bronx,132
2014-02-01,Bensonhurst East,3.3,Brooklyn,2
2014-02-01,Bensonhurst West,2.44,Brooklyn,3
2014-02-01,Bloomingdale,2.84495652174,Manhattan,115
2014-02-01,Boerum Hill,3.3050872093,Brooklyn,688
2014-02-01,Borough Park,0.872,Brooklyn,5
2014-02-01,Briarwood/Jamaica Hills,3.20275862069,Queens,29
2014-02-01,Brighton Beach,5.3725,Brooklyn,4
2014-02-01,Bronx Park,4.76642857143,Bronx,14
2014-02-01,Bronxdale,2.54193548387,Bronx,31
2014-02-01,Brooklyn Heights,3.4765664557,Brooklyn,632
2014-02-01,Brooklyn Navy Yard,2.15142857143,Brooklyn,14
2014-02-01,Brownsville,3.84,Brooklyn,14
2014-02-01,Bushwick North,3.32350877193,Brooklyn,171
2014-02-01,Bushwick South,2.90378612717,Brooklyn,346
2014-02-01,Cambria Heights,8.335,Queens,2
2014-02-01,Canarsie,2.762,Brooklyn,5
2014-02-01,Carroll Gardens,3.50686440678,Brooklyn,354
2014-02-01,Central Harlem,2.72401752768,Manhattan,2168
2014-02-01,Central Harlem North,2.81021674141,Manhattan,1338
2014-02-01,Central Park,2.49598930481,Manhattan,187
2014-02-01,Claremont/Bathgate,2.3825,Bronx,92
2014-02-01,Clinton Hill,3.09983935743,Brooklyn,498
2014-02-01,Clinton West,8.6,Manhattan,1
2014-02-01,Co-Op City,3.34666666667,Bronx,15
2014-02-01,Cobble Hill,3.22591362126,Brooklyn,301
2014-02-01,College Point,4.3225,Queens,4
2014-02-01,Columbia Street,4.42756097561,Brooklyn,41
2014-02-01,Coney Island,2.11634615385,Brooklyn,52
2014-02-01,Corona,2.66707865169,Queens,89
2014-02-01,Crotona Park,1.658,Bronx,5
2014-02-01,Crotona Park East,2.75536585366,Bronx,41
2014-02-01,Crown Heights North,3.39571875,Brooklyn,320
2014-02-01,Crown Heights South,3.75090909091,Brooklyn,55
2014-02-01,Cypress Hills,3.22,Brooklyn,6
2014-02-01,DUMBO/Vinegar Hill,3.5183480826,Brooklyn,339
2014-02-01,Downtown Brooklyn/MetroTech,3.02022508039,Brooklyn,311
2014-02-01,Dyker Heights,3.53,Brooklyn,2
2014-02-01,East Chelsea,0.1,Manhattan,1
2014-02-01,East Concourse/Concourse Village,2.39906614786,Bronx,257
2014-02-01,East Elmhurst,3.03541666667,Queens,48
2014-02-01,East Flatbush/Farragut,0.774,Brooklyn,5
2014-02-01,East Flatbush/Remsen Village,2.862,Brooklyn,5
2014-02-01,East Flushing,4.404,Queens,5
2014-02-01,East Harlem North,2.58767276423,Manhattan,1968
2014-02-01,East Harlem South,2.76179421222,Manhattan,1555
2014-02-01,East New York,1.74571428571,Brooklyn,14
2014-02-01,East New York/Pennsylvania Avenue,3.271,Brooklyn,10
2014-02-01,East Tremont,2.65176470588,Bronx,136
2014-02-01,East Williamsburg,3.10337625179,Brooklyn,699
2014-02-01,Eastchester,3.16307692308,Bronx,13
2014-02-01,Elmhurst,2.38126801153,Queens,1388
2014-02-01,Elmhurst/Maspeth,2.65147859922,Queens,257
2014-02-01,Erasmus,3.53133333333,Brooklyn,15
2014-02-01,Far Rockaway,1.02,Queens,1
2014-02-01,Flatbush/Ditmas Park,3.83961038961,Brooklyn,77
2014-02-01,Flatlands,3.95333333333,Brooklyn,6
2014-02-01,Flushing,3.31239208633,Queens,556
2014-02-01,Flushing Meadows-Corona Park,5.79777777778,Queens,9
2014-02-01,Fordham South,2.59045454545,Bronx,110
2014-02-01,Forest Hills,3.07302158273,Queens,834
2014-02-01,Forest Park/Highland Park,5.555,Queens,2
2014-02-01,Fort Greene,3.18189033189,Brooklyn,693
2014-02-01,Fresh Meadows,4.54,Queens,3
2014-02-01,Garment District,5.46,Manhattan,1
2014-02-01,Glendale,4.748,Queens,5
2014-02-01,Gowanus,3.02653061224,Brooklyn,147
2014-02-01,Gravesend,8.1,Brooklyn,1
2014-02-01,Green-Wood Cemetery,2.6,Brooklyn,1
2014-02-01,Greenpoint,3.22808181818,Brooklyn,1100
2014-02-01,Greenwich Village North,7.37666666667,Manhattan,3
2014-02-01,Hamilton Heights,2.99611940299,Manhattan,804
2014-02-01,Highbridge,2.87227586207,Bronx,145
2014-02-01,Highbridge Park,4.13117647059,Manhattan,17
2014-02-01,Hillcrest/Pomonok,4.427,Queens,10
2014-02-01,Homecrest,1.0,Brooklyn,2
2014-02-01,Hudson Sq,14.68,Manhattan,1
2014-02-01,Hunts Point,2.89577777778,Bronx,90
2014-02-01,Inwood,3.09767918089,Manhattan,293
2014-02-01,Inwood Hill Park,2.29,Manhattan,9
2014-02-01,JFK Airport,7.86090909091,Queens,11
2014-02-01,Jackson Heights,2.40759615385,Queens,1144
2014-02-01,Jamaica,3.5796,Queens,275
2014-02-01,Jamaica Estates,6.67333333333,Queens,6
2014-02-01,Kensington,3.55913043478,Brooklyn,23
2014-02-01,Kew Gardens,3.27072072072,Queens,222
2014-02-01,Kew Gardens Hills,2.985,Queens,20
2014-02-01,Kingsbridge Heights,2.405625,Bronx,128
2014-02-01,Kips Bay,9.67,Manhattan,1
2014-02-01,LaGuardia Airport,7.0525,Queens,4
2014-02-01,Long Island City/Hunters Point,3.39076635514,Queens,535
2014-02-01,Long Island City/Queens Plaza,2.64740875912,Queens,274
2014-02-01,Longwood,2.56191176471,Bronx,68
2014-02-01,Madison,2.62,Brooklyn,3
2014-02-01,Manhattan Beach,2.73166666667,Brooklyn,6
2014-02-01,Manhattan Valley,2.95,Manhattan,2
2014-02-01,Manhattanville,2.79721698113,Manhattan,424
2014-02-01,Marble Hill,1.98672413793,Manhattan,58
2014-02-01,Marine Park/Mill Basin,3.805,Brooklyn,2
2014-02-01,Maspeth,4.351,Queens,20
2014-02-01,Melrose South,2.32393364929,Bronx,211
2014-02-01,Middle Village,4.06714285714,Queens,7
2014-02-01,Midtown East,8.99,Manhattan,1
2014-02-01,Midwood,1.77111111111,Brooklyn,9
2014-02-01,Morningside Heights,2.82542716656,Manhattan,1627
2014-02-01,Morrisania/Melrose,2.48906779661,Bronx,118
2014-02-01,Mott Haven/Port Morris,2.91012,Bronx,250
2014-02-01,Mount Hope,2.27256157635,Bronx,203
2014-02-01,Murray Hill,4.95,Manhattan,1
2014-02-01,Murray Hill-Queens,4.836,Queens,5
2014-02-01,Newark Airport,0.51,EWR,5
2014-02-01,North Corona,2.1559375,Queens,224
2014-02-01,Norwood,3.383359375,Bronx,128
2014-02-01,Oakland Gardens,6.47,Queens,1
2014-02-01,Ocean Hill,3.42294117647,Brooklyn,17
2014-02-01,Ocean Parkway South,2.1,Brooklyn,1
2014-02-01,Old Astoria,3.41567307692,Queens,312
2014-02-01,Ozone Park,4.3825,Queens,4
2014-02-01,Park Slope,3.15654098361,Brooklyn,1220
2014-02-01,Parkchester,3.61424,Bronx,125
2014-02-01,Pelham Bay,3.34,Bronx,12
2014-02-01,Pelham Bay Park,6.7,Bronx,1
2014-02-01,Pelham Parkway,3.12235294118,Bronx,51
2014-02-01,Prospect Heights,3.04624605678,Brooklyn,317
2014-02-01,Prospect Park,3.03135135135,Brooklyn,74
2014-02-01,Prospect-Lefferts Gardens,3.685,Brooklyn,82
2014-02-01,Queens Village,4.685,Queens,4
2014-02-01,Queensboro Hill,3.70928571429,Queens,14
2014-02-01,Queensbridge/Ravenswood,3.32916666667,Queens,48
2014-02-01,Red Hook,5.2414893617,Brooklyn,94
2014-02-01,Rego Park,3.16832167832,Queens,286
2014-02-01,Richmond Hill,4.66590909091,Queens,22
2014-02-01,Ridgewood,3.58117647059,Queens,17
2014-02-01,Riverdale/North Riverdale/Fieldston,3.715,Bronx,4
2014-02-01,Roosevelt Island,3.235,Manhattan,14
2014-02-01,Saint Albans,1.36,Queens,2
2014-02-01,Saint George/New Brighton,3.96714285714,Staten Island,14
2014-02-01,Saint Michaels Cemetery/Woodside,1.58285714286,Queens,7
2014-02-01,Schuylerville/Edgewater Park,4.74806451613,Bronx,31
2014-02-01,Sheepshead Bay,2.72431818182,Brooklyn,88
2014-02-01,SoHo,2.65,Manhattan,1
2014-02-01,Soundview/Bruckner,2.94614035088,Bronx,114
2014-02-01,Soundview/Castle Hill,3.39953125,Bronx,64
2014-02-01,South Jamaica,5.35,Queens,5
2014-02-01,South Ozone Park,6.47037735849,Queens,53
2014-02-01,South Williamsburg,2.74888888889,Brooklyn,45
2014-02-01,Springfield Gardens North,2.602,Queens,5
2014-02-01,Springfield Gardens South,5.33,Queens,2
2014-02-01,Spuyten Duyvil/Kingsbridge,2.30030612245,Bronx,98
