pickup_datetime,zone,trip_distance,borough,count
2014-07-01,Allerton/Pelham Gardens,3.904,Bronx,5
2014-07-01,Astoria,2.65175653141,Queens,1799
2014-07-01,Astoria Park,5.55,Queens,4
2014-07-01,Auburndale,0.0,Queens,1
2014-07-01,Baisley Park,6.488,Queens,10
2014-07-01,Bath Beach,19.28,Brooklyn,1
2014-07-01,Bay Ridge,5.86551724138,Brooklyn,29
2014-07-01,Bay Terrace/Fort Totten,7.26,Queens,1
2014-07-01,Bayside,4.89142857143,Queens,7
2014-07-01,Bedford,2.77507246377,Brooklyn,414
2014-07-01,Bedford Park,2.78903225806,Bronx,155
2014-07-01,Bellerose,0.7,Queens,1
2014-07-01,Belmont,2.26747368421,Bronx,95
2014-07-01,Bensonhurst East,3.076,Brooklyn,5
2014-07-01,Bensonhurst West,4.618,Brooklyn,5
2014-07-01,Bloomingdale,2.5262992126,Manhattan,127
2014-07-01,Boerum Hill,3.27362275449,Brooklyn,668
2014-07-01,Borough Park,4.57055555556,Brooklyn,18
2014-07-01,Briarwood/Jamaica Hills,5.02740740741,Queens,27
2014-07-01,Brighton Beach,3.68705882353,Brooklyn,17
2014-07-01,Bronx Park,3.875,Bronx,10
2014-07-01,Bronxdale,2.60869565217,Bronx,23
2014-07-01,Brooklyn Heights,3.61197547684,Brooklyn,734
2014-07-01,Brooklyn Navy Yard,3.57609756098,Brooklyn,41
2014-07-01,Brownsville,1.81230769231,Brooklyn,13
2014-07-01,Bushwick North,3.39063157895,Brooklyn,95
2014-07-01,Bushwick South,3.40213592233,Brooklyn,206
2014-07-01,Cambria Heights,13.325625,Queens,16
2014-07-01,Canarsie,3.27714285714,Brooklyn,7
2014-07-01,Carroll Gardens,3.29996598639,Brooklyn,294
2014-07-01,Central Harlem,2.38696938246,Manhattan,1927
2014-07-01,Central Harlem North,2.35019539428,Manhattan,1433
2014-07-01,Central Park,2.67851941748,Manhattan,412
2014-07-01,Chinatown,3.26,Manhattan,1
2014-07-01,City Island,0.0,Bronx,1
2014-07-01,Claremont/Bathgate,2.38746835443,Bronx,79
2014-07-01,Clinton Hill,3.13181117534,Brooklyn,519
2014-07-01,Clinton West,5.7,Manhattan,1
2014-07-01,Co-Op City,3.67294117647,Bronx,17
2014-07-01,Cobble Hill,3.52308550186,Brooklyn,269
2014-07-01,College Point,4.08222222222,Queens,9
2014-07-01,Columbia Street,3.72871794872,Brooklyn,39
2014-07-01,Coney Island,3.25678899083,Brooklyn,109
2014-07-01,Corona,3.00206185567,Queens,97
2014-07-01,Crotona Park,2.06666666667,Bronx,3
2014-07-01,Crotona Park East,1.88394736842,Bronx,38
2014-07-01,Crown Heights North,3.29228832952,Brooklyn,437
2014-07-01,Crown Heights South,3.29878787879,Brooklyn,66
2014-07-01,Cypress Hills,3.93571428571,Brooklyn,7
2014-07-01,DUMBO/Vinegar Hill,3.84604100946,Brooklyn,634
2014-07-01,Downtown Brooklyn/MetroTech,3.5731670282,Brooklyn,461
2014-07-01,Dyker Heights,11.47,Brooklyn,3
2014-07-01,East Concourse/Concourse Village,2.73446640316,Bronx,253
2014-07-01,East Elmhurst,2.621,Queens,50
2014-07-01,East Flatbush/Farragut,3.41866666667,Brooklyn,15
2014-07-01,East Flatbush/Remsen Village,2.47923076923,Brooklyn,13
2014-07-01,East Flushing,4.97,Queens,5
2014-07-01,East Harlem North,2.38266947172,Manhattan,2139
2014-07-01,East Harlem South,2.53499502982,Manhattan,2012
2014-07-01,East New York,3.99074074074,Brooklyn,27
2014-07-01,East New York/Pennsylvania Avenue,4.304,Brooklyn,5
2014-07-01,East Tremont,2.42765217391,Bronx,115
2014-07-01,East Village,4.01,Manhattan,1
2014-07-01,East Williamsburg,3.39622994652,Brooklyn,374
2014-07-01,Eastchester,2.69625,Bronx,8
2014-07-01,Elmhurst,2.45340350877,Queens,1425
2014-07-01,Elmhurst/Maspeth,2.34143939394,Queens,264
2014-07-01,Erasmus,2.34555555556,Brooklyn,18
2014-07-01,Flatbush/Ditmas Park,3.73720588235,Brooklyn,136
2014-07-01,Flatiron,2.405,Manhattan,2
2014-07-01,Flatlands,1.51208333333,Brooklyn,24
2014-07-01,Flushing,3.09819565217,Queens,460
2014-07-01,Flushing Meadows-Corona Park,4.38166666667,Queens,18
2014-07-01,Fordham South,1.9896,Bronx,100
2014-07-01,Forest Hills,3.04254216867,Queens,830
2014-07-01,Forest Park/Highland Park,2.44333333333,Queens,3
2014-07-01,Fort Greene,2.82040740741,Brooklyn,810
2014-07-01,Fresh Meadows,4.69333333333,Queens,3
2014-07-01,Glendale,2.33,Queens,6
2014-07-01,Gowanus,3.13782178218,Brooklyn,101
2014-07-01,Gravesend,10.74,Brooklyn,2
2014-07-01,Green-Wood Cemetery,5.6,Brooklyn,2
2014-07-01,Greenpoint,3.38348024316,Brooklyn,658
2014-07-01,Hamilton Heights,3.11052259887,Manhattan,708
2014-07-01,Hammels/Arverne,0.0,Queens,5
2014-07-01,Highbridge,4.07969924812,Bronx,133
2014-07-01,Highbridge Park,3.355,Manhattan,22
2014-07-01,Hillcrest/Pomonok,3.86131578947,Queens,38
2014-07-01,Homecrest,4.01545454545,Brooklyn,11
2014-07-01,Howard Beach,0.0,Queens,1
2014-07-01,Hunts Point,2.64886792453,Bronx,53
2014-07-01,Inwood,3.82797468354,Manhattan,237
2014-07-01,Inwood Hill Park,5.67,Manhattan,9
2014-07-01,JFK Airport,4.27526315789,Queens,19
2014-07-01,Jackson Heights,2.43622350674,Queens,1038
2014-07-01,Jamaica,3.59680781759,Queens,307
