dropoff_datetime,zone,trip_distance,borough,count
2015-04-01,Allerton/Pelham Gardens,4.26795454545,44,Bronx
2015-04-01,Alphabet City,5.24240740741,54,Manhattan
2015-04-01,Arrochar/Fort Wadsworth,8.8,1,Staten Island
2015-04-01,Astoria,1.642472,1250,Queens
2015-04-01,Astoria Park,0.986666666667,6,Queens
2015-04-01,Auburndale,5.688,15,Queens
2015-04-01,Baisley Park,4.40227272727,66,Queens
2015-04-01,Bath Beach,6.2,8,Brooklyn
2015-04-01,Battery Park,4.9375,4,Manhattan
2015-04-01,Battery Park City,5.03788732394,71,Manhattan
2015-04-01,Bay Ridge,5.54295238095,105,Brooklyn
2015-04-01,Bay Terrace/Fort Totten,7.37875,8,Queens
2015-04-01,Bayside,6.04041666667,24,Queens
2015-04-01,Bedford,1.99097964377,786,Brooklyn
2015-04-01,Bedford Park,2.86274193548,186,Bronx
2015-04-01,Bellerose,5.972,10,Queens
2015-04-01,Belmont,2.69888888889,90,Bronx
2015-04-01,Bensonhurst East,5.642,20,Brooklyn
2015-04-01,Bensonhurst West,6.20653846154,26,Brooklyn
2015-04-01,Bloomfield/Emerson Hill,9.185,2,Staten Island
2015-04-01,Bloomingdale,1.59859090909,220,Manhattan
2015-04-01,Boerum Hill,1.66493562232,466,Brooklyn
2015-04-01,Borough Park,3.98381818182,55,Brooklyn
2015-04-01,Breezy Point/Fort Tilden/Riis Beach,7.69,2,Queens
2015-04-01,Briarwood/Jamaica Hills,2.63616666667,180,Queens
2015-04-01,Brighton Beach,2.57760869565,46,Brooklyn
2015-04-01,Bronx Park,3.41675,40,Bronx
2015-04-01,Bronxdale,3.22215686275,51,Bronx
2015-04-01,Brooklyn Heights,1.88206382979,470,Brooklyn
2015-04-01,Brooklyn Navy Yard,1.96194805195,77,Brooklyn
2015-04-01,Brownsville,3.38533898305,118,Brooklyn
2015-04-01,Bushwick North,3.14087649402,251,Brooklyn
2015-04-01,Bushwick South,2.75602678571,448,Brooklyn
2015-04-01,Cambria Heights,6.122,10,Queens
2015-04-01,Canarsie,5.17107142857,56,Brooklyn
2015-04-01,Carroll Gardens,1.89438596491,285,Brooklyn
2015-04-01,Central Harlem,1.23854520734,1471,Manhattan
2015-04-01,Central Harlem North,1.42051580699,1803,Manhattan
2015-04-01,Central Park,2.3068683274,281,Manhattan
2015-04-01,Chinatown,3.98785714286,56,Manhattan
2015-04-01,City Island,3.4,1,Bronx
2015-04-01,Claremont/Bathgate,2.28838709677,155,Bronx
2015-04-01,Clinton East,5.86336363636,220,Manhattan
2015-04-01,Clinton Hill,1.81795103093,776,Brooklyn
2015-04-01,Clinton West,5.5829245283,106,Manhattan
2015-04-01,Co-Op City,4.53227272727,44,Bronx
2015-04-01,Cobble Hill,1.68154761905,168,Brooklyn
2015-04-01,College Point,3.48684210526,114,Queens
2015-04-01,Columbia Street,1.96804597701,87,Brooklyn
2015-04-01,Coney Island,2.27480263158,152,Brooklyn
2015-04-01,Corona,2.03012135922,412,Queens
2015-04-01,Country Club,3.944,5,Bronx
2015-04-01,Crotona Park,3.46375,8,Bronx
2015-04-01,Crotona Park East,3.17826666667,75,Bronx
2015-04-01,Crown Heights North,2.29941514861,1043,Brooklyn
2015-04-01,Crown Heights South,2.29739130435,207,Brooklyn
2015-04-01,Cypress Hills,4.818125,32,Brooklyn
2015-04-01,DUMBO/Vinegar Hill,1.98973063973,297,Brooklyn
2015-04-01,Douglaston,10.8633333333,3,Queens
2015-04-01,Downtown Brooklyn/MetroTech,2.04644886364,352,Brooklyn
2015-04-01,Dyker Heights,5.25333333333,21,Brooklyn
2015-04-01,East Chelsea,5.97058394161,137,Manhattan
2015-04-01,East Concourse/Concourse Village,2.06512064343,373,Bronx
2015-04-01,East Elmhurst,2.68959276018,221,Queens
2015-04-01,East Flatbush/Farragut,3.375,88,Brooklyn
2015-04-01,East Flatbush/Remsen Village,3.34851351351,74,Brooklyn
2015-04-01,East Flushing,3.00754385965,57,Queens
2015-04-01,East Harlem North,1.41691158901,1674,Manhattan
2015-04-01,East Harlem South,1.6730417495,1006,Manhattan
2015-04-01,East New York,4.01488721805,133,Brooklyn
2015-04-01,East New York/Pennsylvania Avenue,3.2004,75,Brooklyn
2015-04-01,East Tremont,2.44463235294,136,Bronx
2015-04-01,East Village,4.59058536585,205,Manhattan
2015-04-01,East Williamsburg,2.17927400468,427,Brooklyn
2015-04-01,Eastchester,4.25869565217,23,Bronx
2015-04-01,Elmhurst,1.72896969697,825,Queens
2015-04-01,Elmhurst/Maspeth,1.59742138365,318,Queens
2015-04-01,Erasmus,4.31987951807,83,Brooklyn
2015-04-01,Far Rockaway,18.78,2,Queens
2015-04-01,Financial District North,5.08170212766,94,Manhattan
2015-04-01,Financial District South,6.11338983051,59,Manhattan
