pickup_datetime,BoroName,trip_distance,borough,count
2014-03-01,Allerton/Pelham Gardens,6.4,Bronx,2
2014-03-01,Alphabet City,2.76062347188,Manhattan,3272
2014-03-01,Arrochar/Fort Wadsworth,3.755,Staten Island,2
2014-03-01,Astoria,3.53428768066,Queens,1453
2014-03-01,Astoria Park,3.965,Queens,4
2014-03-01,Auburndale,3.61,Queens,4
2014-03-01,Baisley Park,15.7882222222,Queens,45
2014-03-01,Bath Beach,5.55666666667,Brooklyn,3
2014-03-01,Battery Park,4.67975609756,Manhattan,164
2014-03-01,Battery Park City,3.52083845724,Manhattan,3578
2014-03-01,Bay Ridge,4.97136363636,Brooklyn,44
2014-03-01,Bay Terrace/Fort Totten,3.62,Queens,1
2014-03-01,Bayside,5.555,Queens,2
2014-03-01,Bedford,3.21264325323,Brooklyn,541
2014-03-01,Bedford Park,3.2696,Bronx,25
2014-03-01,Bellerose,0.0,Queens,1
2014-03-01,Belmont,4.05571428571,Bronx,7
2014-03-01,Bensonhurst East,3.285,Brooklyn,12
2014-03-01,Bensonhurst West,3.39222222222,Brooklyn,9
2014-03-01,Bloomingdale,2.93689205219,Manhattan,1686
2014-03-01,Boerum Hill,3.64126879699,Brooklyn,1064
2014-03-01,Borough Park,1.34214285714,Brooklyn,14
2014-03-01,Breezy Point/Fort Tilden/Riis Beach,1.44,Queens,1
2014-03-01,Briarwood/Jamaica Hills,7.1844,Queens,25
2014-03-01,Brighton Beach,8.0,Brooklyn,3
2014-03-01,Bronx Park,8.055,Bronx,2
2014-03-01,Bronxdale,8.55,Bronx,3
2014-03-01,Brooklyn Heights,3.74419712071,Brooklyn,903
2014-03-01,Brooklyn Navy Yard,2.52774193548,Brooklyn,31
2014-03-01,Brownsville,3.91454545455,Brooklyn,22
2014-03-01,Bushwick North,3.71253878702,Brooklyn,709
2014-03-01,Bushwick South,3.28271853987,Brooklyn,1041
2014-03-01,Cambria Heights,0.0,Queens,1
2014-03-01,Canarsie,2.585,Brooklyn,6
2014-03-01,Carroll Gardens,3.54930420712,Brooklyn,618
2014-03-01,Central Harlem,2.81651550208,Manhattan,2161
2014-03-01,Central Harlem North,3.05020856202,Manhattan,911
2014-03-01,Central Park,2.33208685163,Manhattan,5803
2014-03-01,Chinatown,2.91552702703,Manhattan,1480
2014-03-01,City Island,4.2,Bronx,1
2014-03-01,Claremont/Bathgate,4.77666666667,Bronx,3
2014-03-01,Clinton East,2.61586379928,Manhattan,18135
2014-03-01,Clinton Hill,3.2082602546,Brooklyn,707
2014-03-01,Clinton West,2.78782270853,Manhattan,6306
2014-03-01,Co-Op City,1.56,Bronx,1
2014-03-01,Cobble Hill,3.72468937876,Brooklyn,499
2014-03-01,College Point,5.685,Queens,2
2014-03-01,Columbia Street,4.79618181818,Brooklyn,55
2014-03-01,Coney Island,4.858,Brooklyn,5
2014-03-01,Corona,3.28157894737,Queens,19
2014-03-01,Crotona Park,0.8,Bronx,1
2014-03-01,Crotona Park East,3.55666666667,Bronx,6
2014-03-01,Crown Heights North,3.7681025641,Brooklyn,390
2014-03-01,Crown Heights South,3.77693548387,Brooklyn,62
2014-03-01,Cypress Hills,5.00142857143,Brooklyn,7
2014-03-01,DUMBO/Vinegar Hill,3.63611111111,Brooklyn,378
2014-03-01,Downtown Brooklyn/MetroTech,4.18184074457,Brooklyn,967
2014-03-01,Dyker Heights,2.7,Brooklyn,15
2014-03-01,East Chelsea,2.46755738244,Manhattan,15205
2014-03-01,East Concourse/Concourse Village,2.58892857143,Bronx,28
2014-03-01,East Elmhurst,4.74862068966,Queens,58
2014-03-01,East Flatbush/Farragut,2.85333333333,Brooklyn,3
2014-03-01,East Flatbush/Remsen Village,3.35166666667,Brooklyn,6
2014-03-01,East Flushing,4.166,Queens,5
2014-03-01,East Harlem North,2.74863000932,Manhattan,2146
2014-03-01,East Harlem South,2.69418390805,Manhattan,3480
2014-03-01,East New York,4.546,Brooklyn,15
2014-03-01,East New York/Pennsylvania Avenue,2.446,Brooklyn,5
2014-03-01,East Tremont,3.44166666667,Bronx,6
2014-03-01,East Village,2.65191646279,Manhattan,28203
2014-03-01,East Williamsburg,3.37620466321,Brooklyn,2316
2014-03-01,Eastchester,6.21,Bronx,2
2014-03-01,Elmhurst,3.79502463054,Queens,203
2014-03-01,Elmhurst/Maspeth,4.29819277108,Queens,83
2014-03-01,Erasmus,2.86615384615,Brooklyn,26
2014-03-01,Financial District North,3.79129428778,Manhattan,4149
2014-03-01,Financial District South,4.11897147147,Manhattan,1332
2014-03-01,Flatbush/Ditmas Park,4.52,Brooklyn,102
2014-03-01,Flatiron,2.24928011874,Manhattan,12127
2014-03-01,Flatlands,4.32888888889,Brooklyn,9
2014-03-01,Flushing,2.96368932039,Queens,103
2014-03-01,Flushing Meadows-Corona Park,8.27135135135,Queens,37
2014-03-01,Fordham South,2.595,Bronx,6
2014-03-01,Forest Hills,5.74585106383,Queens,94
2014-03-01,Forest Park/Highland Park,7.675,Queens,4
2014-03-01,Fort Greene,3.40794634598,Brooklyn,1081
2014-03-01,Fresh Meadows,5.65666666667,Queens,3
2014-03-01,Garment District,2.43724347138,Manhattan,7582
2014-03-01,Glendale,2.87428571429,Queens,7
2014-03-01,Governor's Island/Ellis Island/Liberty Island,6.35,Manhattan,2
2014-03-01,Gowanus,3.23313131313,Brooklyn,297
2014-03-01,Gramercy,2.29496006675,Manhattan,16778
2014-03-01,Greenpoint,3.40239850094,Brooklyn,1601
2014-03-01,Greenwich Village North,2.27067236153,Manhattan,10887
2014-03-01,Greenwich Village South,2.54285701333,Manhattan,11029
2014-03-01,Grymes Hill/Clifton,0.4,Staten Island,1
2014-03-01,Hamilton Heights,3.6235832084,Manhattan,667
2014-03-01,Hammels/Arverne,1.39,Queens,1
2014-03-01,Highbridge,4.1765,Bronx,20
2014-03-01,Highbridge Park,0.8,Manhattan,1
2014-03-01,Hillcrest/Pomonok,4.17875,Queens,8
2014-03-01,Homecrest,5.65857142857,Brooklyn,7
2014-03-01,Howard Beach,4.53,Queens,3
2014-03-01,Hudson Sq,2.66855120482,Manhattan,3320
2014-03-01,Hunts Point,3.228,Bronx,5
2014-03-01,Inwood,4.26697368421,Manhattan,76
2014-03-01,Inwood Hill Park,4.345,Manhattan,4
2014-03-01,JFK Airport,15.3275953999,Queens,5739
2014-03-01,Jackson Heights,3.27427586207,Queens,290
2014-03-01,Jamaica,7.43258064516,Queens,31
2014-03-01,Jamaica Estates,2.99857142857,Queens,7
2014-03-01,Kensington,4.41411764706,Brooklyn,34
2014-03-01,Kew Gardens,4.0,Queens,37
2014-03-01,Kew Gardens Hills,3.88307692308,Queens,13
2014-03-01,Kingsbridge Heights,3.50388888889,Bronx,18
2014-03-01,Kips Bay,2.25626366476,Manhattan,7684
2014-03-01,LaGuardia Airport,9.32071541413,Queens,4431
2014-03-01,Lenox Hill East,2.75677939938,Manhattan,7126
2014-03-01,Lenox Hill West,2.37580167811,Manhattan,13110
2014-03-01,Lincoln Square East,2.29127793344,Manhattan,14633
2014-03-01,Lincoln Square West,2.40364245608,Manhattan,5521
2014-03-01,Little Italy/NoLiTa,2.60740283082,Manhattan,8902
2014-03-01,Long Island City/Hunters Point,3.55314155251,Queens,1095
2014-03-01,Long Island City/Queens Plaza,3.56757309942,Queens,684
2014-03-01,Longwood,4.025,Bronx,6
2014-03-01,Lower East Side,2.95977774691,Manhattan,14398
2014-03-01,Madison,2.972,Brooklyn,5
2014-03-01,Manhattan Beach,0.245,Brooklyn,2
2014-03-01,Manhattan Valley,2.65083592708,Manhattan,4498
2014-03-01,Manhattanville,3.21852159468,Manhattan,602
2014-03-01,Marble Hill,6.36666666667,Manhattan,3
2014-03-01,Marine Park/Mill Basin,7.2475,Brooklyn,4
2014-03-01,Mariners Harbor,5.4,Staten Island,1
2014-03-01,Maspeth,4.981875,Queens,48
