dropoff_datetime,zone,trip_distance,borough,count
2015-02-01,Allerton/Pelham Gardens,4.2748,25,Bronx
2015-02-01,Alphabet City,5.08784810127,158,Manhattan
2015-02-01,Arrochar/Fort Wadsworth,14.29,1,Staten Island
2015-02-01,Astoria,2.08833796554,1799,Queens
2015-02-01,Astoria Park,3.12142857143,7,Queens
2015-02-01,Auburndale,5.47807692308,26,Queens
2015-02-01,Baisley Park,3.91265306122,49,Queens
2015-02-01,Bath Beach,12.7709090909,11,Brooklyn
2015-02-01,Battery Park,7.65333333333,3,Manhattan
2015-02-01,Battery Park City,5.71971014493,69,Manhattan
2015-02-01,Bay Ridge,6.5375,152,Brooklyn
2015-02-01,Bay Terrace/Fort Totten,6.23133333333,15,Queens
2015-02-01,Bayside,7.8675,24,Queens
2015-02-01,Bedford,2.28109141791,1072,Brooklyn
2015-02-01,Bedford Park,3.16680851064,141,Bronx
2015-02-01,Bellerose,7.06666666667,9,Queens
2015-02-01,Belmont,2.59710526316,76,Bronx
2015-02-01,Bensonhurst East,7.61421052632,19,Brooklyn
2015-02-01,Bensonhurst West,7.39680851064,47,Brooklyn
2015-02-01,Bloomfield/Emerson Hill,5.135,4,Staten Island
2015-02-01,Bloomingdale,2.61808411215,214,Manhattan
2015-02-01,Boerum Hill,2.11817891374,626,Brooklyn
2015-02-01,Borough Park,4.10027777778,36,Brooklyn
2015-02-01,Breezy Point/Fort Tilden/Riis Beach,0.0,1,Queens
2015-02-01,Briarwood/Jamaica Hills,3.50825503356,149,Queens
2015-02-01,Brighton Beach,4.585,28,Brooklyn
2015-02-01,Broad Channel,8.9,1,Queens
2015-02-01,Bronx Park,3.96307692308,13,Bronx
2015-02-01,Bronxdale,3.86785714286,42,Bronx
2015-02-01,Brooklyn Heights,2.30635514019,535,Brooklyn
2015-02-01,Brooklyn Navy Yard,2.00414634146,41,Brooklyn
2015-02-01,Brownsville,3.61103448276,87,Brooklyn
