dropoff_datetime,zone,trip_distance,count,borough
2014-07-31,Maspeth,0.0,1,Queens
2014-08-01,Allerton/Pelham Gardens,13.435,18,Bronx
2014-08-01,Alphabet City,2.49565789474,2280,Manhattan
2014-08-01,Arden Heights,28.8125,4,Staten Island
2014-08-01,Arrochar/Fort Wadsworth,17.0066666667,6,Staten Island
2014-08-01,Astoria,4.71469189714,2061,Queens
2014-08-01,Astoria Park,4.42117647059,17,Queens
2014-08-01,Auburndale,12.8070833333,24,Queens
2014-08-01,Baisley Park,6.05984126984,126,Queens
2014-08-01,Bath Beach,15.1742857143,35,Brooklyn
2014-08-01,Battery Park,3.92134736842,475,Manhattan
2014-08-01,Battery Park City,3.92939767607,4217,Manhattan
2014-08-01,Bay Ridge,11.7530136986,365,Brooklyn
2014-08-01,Bay Terrace/Fort Totten,13.4704,25,Queens
2014-08-01,Bayside,12.5375,48,Queens
2014-08-01,Bedford,5.04174107143,896,Brooklyn
2014-08-01,Bedford Park,12.3688888889,63,Bronx
2014-08-01,Bellerose,11.0983333333,18,Queens
2014-08-01,Belmont,11.828490566,53,Bronx
2014-08-01,Bensonhurst East,15.0065079365,63,Brooklyn
2014-08-01,Bensonhurst West,13.882826087,92,Brooklyn
2014-08-01,Bloomfield/Emerson Hill,20.33,7,Staten Island
2014-08-01,Bloomingdale,3.02445692884,1335,Manhattan
2014-08-01,Boerum Hill,5.18347560976,820,Brooklyn
2014-08-01,Borough Park,10.9541975309,81,Brooklyn
2014-08-01,Breezy Point/Fort Tilden/Riis Beach,21.03,5,Queens
2014-08-01,Briarwood/Jamaica Hills,8.98009009009,111,Queens
2014-08-01,Brighton Beach,15.79,34,Brooklyn
2014-08-01,Broad Channel,12.975,2,Queens
2014-08-01,Bronx Park,10.9192857143,14,Bronx
2014-08-01,Bronxdale,13.0252777778,36,Bronx
2014-08-01,Brooklyn Heights,5.04470430108,1116,Brooklyn
2014-08-01,Brooklyn Navy Yard,4.35901408451,71,Brooklyn
2014-08-01,Brownsville,8.10765957447,47,Brooklyn
2014-08-01,Bushwick North,5.74527162978,497,Brooklyn
2014-08-01,Bushwick South,5.20378752887,866,Brooklyn
2014-08-01,Cambria Heights,9.89277777778,18,Queens
2014-08-01,Canarsie,10.3746875,64,Brooklyn
2014-08-01,Carroll Gardens,5.59559090909,440,Brooklyn
2014-08-01,Central Harlem,3.37626738794,2588,Manhattan
2014-08-01,Central Harlem North,4.81673445671,1721,Manhattan
2014-08-01,Central Park,2.17629199239,4733,Manhattan
2014-08-01,Charleston/Tottenville,34.91,4,Staten Island
2014-08-01,Chinatown,2.73127094972,1432,Manhattan
2014-08-01,City Island,15.9185714286,7,Bronx
2014-08-01,Claremont/Bathgate,7.856,40,Bronx
2014-08-01,Clinton East,2.28674645904,12073,Manhattan
2014-08-01,Clinton Hill,5.14720168955,947,Brooklyn
2014-08-01,Clinton West,2.17886103435,5066,Manhattan
2014-08-01,Co-Op City,13.935,18,Bronx
2014-08-01,Cobble Hill,5.51919354839,310,Brooklyn
2014-08-01,College Point,9.768,45,Queens
2014-08-01,Columbia Street,5.07991666667,120,Brooklyn
2014-08-01,Coney Island,17.4682857143,35,Brooklyn
2014-08-01,Corona,7.50284552846,123,Queens
2014-08-01,Country Club,13.6644444444,9,Bronx
2014-08-01,Crotona Park,11.4433333333,3,Bronx
2014-08-01,Crotona Park East,8.71916666667,24,Bronx
2014-08-01,Crown Heights North,5.97432668329,802,Brooklyn
2014-08-01,Crown Heights South,6.3968722467,227,Brooklyn
2014-08-01,Cypress Hills,9.97305555556,36,Brooklyn
2014-08-01,DUMBO/Vinegar Hill,4.26651162791,645,Brooklyn
2014-08-01,Douglaston,12.5382142857,28,Queens
2014-08-01,Downtown Brooklyn/MetroTech,4.92586956522,828,Brooklyn
2014-08-01,Dyker Heights,11.5214705882,68,Brooklyn
2014-08-01,East Chelsea,2.05192955863,11215,Manhattan
2014-08-01,East Concourse/Concourse Village,7.55533333333,180,Bronx
2014-08-01,East Elmhurst,7.88672897196,214,Queens
2014-08-01,East Flatbush/Farragut,9.43169230769,65,Brooklyn
2014-08-01,East Flatbush/Remsen Village,9.77547169811,53,Brooklyn
2014-08-01,East Flushing,11.5405,20,Queens
2014-08-01,East Harlem North,3.16817952756,3175,Manhattan
2014-08-01,East Harlem South,2.71056564246,4296,Manhattan
2014-08-01,East New York,8.6992,75,Brooklyn
2014-08-01,East New York/Pennsylvania Avenue,8.99166666667,24,Brooklyn
2014-08-01,East Tremont,10.4051282051,39,Bronx
2014-08-01,East Village,2.15457984145,13245,Manhattan
2014-08-01,East Williamsburg,4.38078501338,1121,Brooklyn
2014-08-01,Eastchester,16.5486666667,15,Bronx
2014-08-01,Elmhurst,6.11474285714,350,Queens
2014-08-01,Elmhurst/Maspeth,5.70666666667,180,Queens
2014-08-01,Eltingville/Annadale/Prince's Bay,26.1,1,Staten Island
2014-08-01,Erasmus,7.826,45,Brooklyn
2014-08-01,Far Rockaway,11.9,17,Queens
2014-08-01,Financial District North,3.96245026442,3971,Manhattan
2014-08-01,Financial District South,4.48924690181,2098,Manhattan
2014-08-01,Flatbush/Ditmas Park,9.23884803922,408,Brooklyn
2014-08-01,Flatiron,1.90339926963,6572,Manhattan
2014-08-01,Flatlands,11.8926760563,71,Brooklyn
2014-08-01,Flushing,7.51675,200,Queens
2014-08-01,Flushing Meadows-Corona Park,8.61847826087,92,Queens
2014-08-01,Fordham South,11.7730769231,26,Bronx
2014-08-01,Forest Hills,8.61295412844,545,Queens
2014-08-01,Forest Park/Highland Park,8.08782608696,23,Queens
2014-08-01,Fort Greene,4.6479375,800,Brooklyn
2014-08-01,Fresh Meadows,10.2960240964,83,Queens
2014-08-01,Garment District,1.96658290085,7322,Manhattan
2014-08-01,Glen Oaks,14.9673684211,19,Queens
2014-08-01,Glendale,8.5568,50,Queens
2014-08-01,Gowanus,6.30178082192,292,Brooklyn
2014-08-01,Gramercy,1.9643319097,9834,Manhattan
2014-08-01,Gravesend,14.6283333333,24,Brooklyn
2014-08-01,Great Kills,24.63,3,Staten Island
2014-08-01,Green-Wood Cemetery,8.646,5,Brooklyn
2014-08-01,Greenpoint,4.39809067688,1566,Brooklyn
2014-08-01,Greenwich Village North,1.98113454308,6117,Manhattan
