dropoff_datetime,zone,trip_distance,borough,count
2015-03-01,Allerton/Pelham Gardens,5.99428571429,42,Bronx
2015-03-01,Alphabet City,4.73390625,128,Manhattan
2015-03-01,Arrochar/Fort Wadsworth,15.1,1,Staten Island
2015-03-01,Astoria,2.13462420382,1570,Queens
2015-03-01,Astoria Park,2.61454545455,11,Queens
2015-03-01,Auburndale,5.258,20,Queens
2015-03-01,Baisley Park,3.68174603175,63,Queens
2015-03-01,Bath Beach,7.71461538462,13,Brooklyn
2015-03-01,Battery Park,6.35,4,Manhattan
2015-03-01,Battery Park City,5.60083333333,48,Manhattan
2015-03-01,Bay Ridge,6.08661764706,136,Brooklyn
2015-03-01,Bay Terrace/Fort Totten,6.86565217391,23,Queens
2015-03-01,Bayside,7.77972222222,36,Queens
2015-03-01,Bedford,2.26749539595,1086,Brooklyn
2015-03-01,Bedford Park,3.1799408284,169,Bronx
2015-03-01,Bellerose,8.44714285714,7,Queens
2015-03-01,Belmont,2.77875,96,Bronx
2015-03-01,Bensonhurst East,7.18916666667,24,Brooklyn
2015-03-01,Bensonhurst West,6.3069047619,42,Brooklyn
2015-03-01,Bloomfield/Emerson Hill,27.03,1,Staten Island
2015-03-01,Bloomingdale,2.23967391304,184,Manhattan
2015-03-01,Boerum Hill,2.22169683258,442,Brooklyn
2015-03-01,Borough Park,4.68985294118,68,Brooklyn
2015-03-01,Breezy Point/Fort Tilden/Riis Beach,9.115,2,Queens
2015-03-01,Briarwood/Jamaica Hills,3.41476923077,130,Queens
2015-03-01,Brighton Beach,3.26266666667,30,Brooklyn
2015-03-01,Bronx Park,2.94761904762,21,Bronx
2015-03-01,Bronxdale,4.56581818182,55,Bronx
2015-03-01,Brooklyn Heights,2.51573643411,387,Brooklyn
2015-03-01,Brooklyn Navy Yard,2.27611111111,36,Brooklyn
2015-03-01,Brownsville,3.63262773723,137,Brooklyn
2015-03-01,Bushwick North,2.9699702381,672,Brooklyn
2015-03-01,Bushwick South,2.7347113164,866,Brooklyn
2015-03-01,Cambria Heights,6.38,7,Queens
2015-03-01,Canarsie,4.98513157895,76,Brooklyn
2015-03-01,Carroll Gardens,2.38894941634,257,Brooklyn
2015-03-01,Central Harlem,1.68656034483,1160,Manhattan
2015-03-01,Central Harlem North,1.61873294347,1539,Manhattan
2015-03-01,Central Park,3.12578571429,140,Manhattan
2015-03-01,Chinatown,4.76210526316,76,Manhattan
2015-03-01,City Island,5.02,1,Bronx
2015-03-01,Claremont/Bathgate,2.91208860759,158,Bronx
2015-03-01,Clinton East,6.36575510204,245,Manhattan
2015-03-01,Clinton Hill,2.18122663551,856,Brooklyn
2015-03-01,Clinton West,6.72919642857,112,Manhattan
2015-03-01,Co-Op City,5.50428571429,56,Bronx
2015-03-01,Cobble Hill,2.44179190751,173,Brooklyn
2015-03-01,College Point,4.22829268293,82,Queens
2015-03-01,Columbia Street,2.26802197802,91,Brooklyn
2015-03-01,Coney Island,5.76,31,Brooklyn
2015-03-01,Corona,2.125625,544,Queens
2015-03-01,Country Club,4.72444444444,9,Bronx
2015-03-01,Crotona Park,2.34125,8,Bronx
2015-03-01,Crotona Park East,3.37616438356,73,Bronx
2015-03-01,Crown Heights North,2.50662895928,1326,Brooklyn
2015-03-01,Crown Heights South,2.54552529183,257,Brooklyn
2015-03-01,Cypress Hills,5.04354166667,48,Brooklyn
2015-03-01,DUMBO/Vinegar Hill,2.33282608696,184,Brooklyn
2015-03-01,Douglaston,11.06,4,Queens
2015-03-01,Downtown Brooklyn/MetroTech,2.42460674157,267,Brooklyn
2015-03-01,Dyker Heights,7.14851851852,27,Brooklyn
2015-03-01,East Chelsea,6.25987096774,155,Manhattan
2015-03-01,East Concourse/Concourse Village,2.30088414634,328,Bronx
2015-03-01,East Elmhurst,2.45482625483,259,Queens
2015-03-01,East Flatbush/Farragut,3.03903846154,104,Brooklyn
2015-03-01,East Flatbush/Remsen Village,3.27095238095,126,Brooklyn
2015-03-01,East Flushing,3.60647058824,51,Queens
2015-03-01,East Harlem North,1.77715408805,1272,Manhattan
2015-03-01,East Harlem South,2.58314194577,627,Manhattan
2015-03-01,East New York,4.33670658683,167,Brooklyn
2015-03-01,East New York/Pennsylvania Avenue,4.88310344828,58,Brooklyn
2015-03-01,East Tremont,3.27014184397,141,Bronx
2015-03-01,East Village,4.54118090452,398,Manhattan
2015-03-01,East Williamsburg,2.15072261072,858,Brooklyn
2015-03-01,Eastchester,6.48606060606,33,Bronx
2015-03-01,Elmhurst,1.83001888574,1059,Queens
2015-03-01,Elmhurst/Maspeth,1.60508235294,425,Queens
2015-03-01,Erasmus,3.31761904762,105,Brooklyn
2015-03-01,Far Rockaway,10.166,5,Queens
2015-03-01,Financial District North,5.39113924051,79,Manhattan
2015-03-01,Financial District South,6.8215625,32,Manhattan
2015-03-01,Flatbush/Ditmas Park,4.03482758621,348,Brooklyn
2015-03-01,Flatiron,6.39091836735,98,Manhattan
2015-03-01,Flatlands,4.8149382716,81,Brooklyn
2015-03-01,Flushing,3.83995305164,213,Queens
2015-03-01,Flushing Meadows-Corona Park,4.32783783784,37,Queens
2015-03-01,Fordham South,3.18764150943,106,Bronx
2015-03-01,Forest Hills,2.33650390625,512,Queens
2015-03-01,Forest Park/Highland Park,4.87333333333,6,Queens
2015-03-01,Fort Greene,1.97385430464,755,Brooklyn
2015-03-01,Fresh Meadows,6.07434782609,23,Queens
2015-03-01,Garment District,6.32168674699,83,Manhattan
2015-03-01,Glen Oaks,9.55666666667,6,Queens
2015-03-01,Glendale,3.84475728155,103,Queens
2015-03-01,Gowanus,2.31722222222,216,Brooklyn
2015-03-01,Gramercy,5.51831325301,166,Manhattan
2015-03-01,Gravesend,6.05875,16,Brooklyn
2015-03-01,Green-Wood Cemetery,1.18,1,Brooklyn
2015-03-01,Greenpoint,2.0143815331,1148,Brooklyn
2015-03-01,Greenwich Village North,5.4029,100,Manhattan
2015-03-01,Greenwich Village South,4.85560747664,107,Manhattan
2015-03-01,Grymes Hill/Clifton,29.57,2,Staten Island
2015-03-01,Hamilton Heights,1.86502873563,696,Manhattan
2015-03-01,Hammels/Arverne,10.2133333333,6,Queens
2015-03-01,Heartland Village/Todt Hill,15.84,3,Staten Island
2015-03-01,Highbridge,2.12004405286,227,Bronx
2015-03-01,Highbridge Park,2.87875,16,Manhattan
2015-03-01,Hillcrest/Pomonok,3.19352517986,139,Queens
2015-03-01,Hollis,4.8795,20,Queens
2015-03-01,Homecrest,4.195,28,Brooklyn
2015-03-01,Howard Beach,8.13875,16,Queens
2015-03-01,Hudson Sq,5.1018,50,Manhattan
2015-03-01,Hunts Point,3.37339805825,103,Bronx
2015-03-01,Inwood,2.97943478261,230,Manhattan
2015-03-01,Inwood Hill Park,2.212,25,Manhattan
2015-03-01,JFK Airport,13.8507627119,354,Queens
2015-03-01,Jackson Heights,1.78124694377,1636,Queens
2015-03-01,Jamaica,3.3598013245,151,Queens
2015-03-01,Jamaica Estates,4.10513513514,37,Queens
2015-03-01,Kensington,4.61383838384,99,Brooklyn
