dropoff_datetime,zone,trip_distance,borough,count
2014-06-01,Allerton/Pelham Gardens,4.77217391304,23,Bronx
2014-06-01,Alphabet City,5.18237704918,122,Manhattan
2014-06-01,Arrochar/Fort Wadsworth,9.4,1,Staten Island
2014-06-01,Astoria,2.25944700461,1519,Queens
2014-06-01,Astoria Park,2.12,13,Queens
2014-06-01,Auburndale,6.60142857143,14,Queens
2014-06-01,Baisley Park,4.57884615385,26,Queens
2014-06-01,Bath Beach,9.276,15,Brooklyn
2014-06-01,Battery Park City,6.32452830189,53,Manhattan
2014-06-01,Bay Ridge,6.26727272727,132,Brooklyn
2014-06-01,Bay Terrace/Fort Totten,7.66066666667,15,Queens
2014-06-01,Bayside,7.92309090909,55,Queens
2014-06-01,Bedford,2.54852941176,748,Brooklyn
2014-06-01,Bedford Park,2.99604651163,172,Bronx
2014-06-01,Bellerose,10.45,10,Queens
2014-06-01,Belmont,3.26121212121,99,Bronx
2014-06-01,Bensonhurst East,8.67869565217,23,Brooklyn
2014-06-01,Bensonhurst West,7.8124137931,29,Brooklyn
2014-06-01,Bloomfield/Emerson Hill,17.04,1,Staten Island
2014-06-01,Bloomingdale,2.46293785311,177,Manhattan
2014-06-01,Boerum Hill,2.49528117359,409,Brooklyn
2014-06-01,Borough Park,5.30483870968,31,Brooklyn
2014-06-01,Breezy Point/Fort Tilden/Riis Beach,13.26,2,Queens
2014-06-01,Briarwood/Jamaica Hills,3.56196581197,117,Queens
2014-06-01,Brighton Beach,8.73761904762,21,Brooklyn
2014-06-01,Bronx Park,4.39769230769,26,Bronx
2014-06-01,Bronxdale,4.56714285714,42,Bronx
2014-06-01,Brooklyn Heights,2.88802884615,416,Brooklyn
2014-06-01,Brooklyn Navy Yard,2.48571428571,28,Brooklyn
2014-06-01,Brownsville,3.91166666667,54,Brooklyn
2014-06-01,Bushwick North,3.18529774127,487,Brooklyn
2014-06-01,Bushwick South,3.0278746594,734,Brooklyn
2014-06-01,Cambria Heights,9.06666666667,3,Queens
2014-06-01,Canarsie,5.55659574468,47,Brooklyn
2014-06-01,Carroll Gardens,2.52394594595,370,Brooklyn
2014-06-01,Central Harlem,1.78918085106,940,Manhattan
2014-06-01,Central Harlem North,1.88884552846,1230,Manhattan
2014-06-01,Central Park,3.28994350282,177,Manhattan
