dropoff_datetime,zone,trip_distance,count,borough
2016-02-25,Lincoln Square West,1.9,9,Manhattan
2016-05-01,Allerton/Pelham Gardens,14.5223809524,21,Bronx
2016-05-01,Alphabet City,2.31119408946,2504,Manhattan
2016-05-01,Arden Heights,27.705,2,Staten Island
2016-05-01,Arrochar/Fort Wadsworth,17.21125,8,Staten Island
2016-05-01,Astoria,4.62353899884,2577,Queens
2016-05-01,Astoria Park,4.34833333333,6,Queens
2016-05-01,Auburndale,11.14,16,Queens
2016-05-01,Baisley Park,6.92172727273,110,Queens
2016-05-01,Bath Beach,14.3622222222,45,Brooklyn
2016-05-01,Battery Park,3.55638418079,177,Manhattan
2016-05-01,Battery Park City,3.83060512821,2925,Manhattan
2016-05-01,Bay Ridge,12.1859466667,375,Brooklyn
2016-05-01,Bay Terrace/Fort Totten,11.8369047619,42,Queens
2016-05-01,Bayside,13.1746268657,67,Queens
2016-05-01,Bedford,4.90699398798,998,Brooklyn
2016-05-01,Bedford Park,11.5184615385,78,Bronx
2016-05-01,Bellerose,12.0916666667,24,Queens
2016-05-01,Belmont,11.2624390244,41,Bronx
2016-05-01,Bensonhurst East,14.3708163265,49,Brooklyn
2016-05-01,Bensonhurst West,13.5088505747,87,Brooklyn
2016-05-01,Bloomfield/Emerson Hill,24.7492857143,14,Staten Island
2016-05-01,Bloomingdale,3.07718370264,1399,Manhattan
2016-05-01,Boerum Hill,5.26515489467,807,Brooklyn
2016-05-01,Borough Park,13.1824528302,106,Brooklyn
2016-05-01,Breezy Point/Fort Tilden/Riis Beach,20.0983333333,6,Queens
2016-05-01,Briarwood/Jamaica Hills,9.13622641509,106,Queens
2016-05-01,Brighton Beach,15.316744186,43,Brooklyn
2016-05-01,Broad Channel,32.665,2,Queens
2016-05-01,Bronx Park,12.3044444444,9,Bronx
2016-05-01,Bronxdale,12.3542222222,45,Bronx
2016-05-01,Brooklyn Heights,5.31114973262,1122,Brooklyn
2016-05-01,Brooklyn Navy Yard,5.24941176471,34,Brooklyn
2016-05-01,Brownsville,7.99578947368,57,Brooklyn
2016-05-01,Bushwick North,5.46072902338,727,Brooklyn
2016-05-01,Bushwick South,5.31229537367,1124,Brooklyn
2016-05-01,Cambria Heights,8.4824137931,29,Queens
2016-05-01,Canarsie,10.826,95,Brooklyn
2016-05-01,Carroll Gardens,6.72038793103,464,Brooklyn
2016-05-01,Central Harlem,3.50643099932,2942,Manhattan
